blind,feature,importance
False,Weapon=Firearm,0.14654301
False,Age Group=0-4,0.0718318
False,State=Texas,0.05570886
False,Weapon=Unknown,0.05284934
False,Age Group=95-99,0.047246903
False,Weapon=Strangulation,0.040649742
False,Weapon=Shotgun,0.03377896
False,Age Group=5-9,0.029126275
False,Weapon=Handgun,0.027656784
False,Weapon=Rifle,0.026745193
False,Decade=1980,0.021473823
False,Victim Sex=Female,0.019209206
False,Weapon=Gun,0.017444473
False,Weapon=Knife,0.016631082
False,State=California,0.016172623
False,Victim Sex=Unknown,0.014341844
False,Victim Sex=Male,0.013727965
False,Age Group=10-14,0.01325906
False,Victim Ethnicity=Hispanic,0.013087652
False,Victim Race=White,0.012226028
False,Victim Race=Unknown,0.0113567
False,Weapon=Fire,0.010893573
False,Victim Race=Black,0.0106568355
False,Decade=2010,0.010319729
False,State=Michigan,0.009773104
True,Weapon=Firearm,0.18931116
True,Age Group=0-4,0.081456825
True,State=Texas,0.076595046
True,Age Group=95-99,0.066059336
True,Weapon=Unknown,0.05809514
True,Weapon=Handgun,0.036180075
True,Weapon=Strangulation,0.029255074
True,Weapon=Shotgun,0.028930234
True,Weapon=Rifle,0.028669294
True,Age Group=5-9,0.026617197
True,State=California,0.024469437
True,Decade=1980,0.024228977
True,Weapon=Knife,0.021636913
True,Weapon=Gun,0.015328834
True,Age Group=Unknown,0.013342788
True,Weapon=Fire,0.011626045
True,Month=December,0.0113415625
True,Decade=2000,0.011127375
True,Age Group=15-19,0.010997511
True,Decade=2010,0.010978884
True,Age Group=10-14,0.010932832
True,State=Michigan,0.009245216
True,Month=November,0.008990166
True,Weapon=Blunt Object,0.008469722
True,Agency Type=Municipal Police,0.008424219
