,importance
Weapon=Firearm,0.18931116
Age Group=0-4,0.081456825
State=Texas,0.076595046
Age Group=95-99,0.066059336
Weapon=Unknown,0.05809514
Weapon=Handgun,0.036180075
Weapon=Strangulation,0.029255074
Weapon=Shotgun,0.028930234
Weapon=Rifle,0.028669294
Age Group=5-9,0.026617197
State=California,0.024469437
Decade=1980,0.024228977
Weapon=Knife,0.021636913
Weapon=Gun,0.015328834
Age Group=Unknown,0.013342788
Weapon=Fire,0.011626045
Month=December,0.0113415625
Decade=2000,0.011127375
Age Group=15-19,0.010997511
Decade=2010,0.010978884
Age Group=10-14,0.010932832
State=Michigan,0.009245216
Month=November,0.008990166
Weapon=Blunt Object,0.008469722
Agency Type=Municipal Police,0.008424219
