block_key,min_n,State,City,n,n_unsolved,expected_unsolved,smr,z,p_value,n_priority,white_share,black_share,q_value,flag
county,20,Texas,Dallas,3275,1262,977.9672137858216,1.2904318081530108,11.374794964224888,0.00019998000199980003,151,0.5099236641221374,0.4751145038167939,0.0031774600317746003,cold
county,20,Michigan,Wayne,5759,2145,1836.6497775038367,1.1678873273897854,9.05823093854989,0.00019998000199980003,174,0.157839902760896,0.8308734155235283,0.0031774600317746003,cold
county,20,California,San Francisco,922,471,387.24127028774194,1.216295979119221,5.769267684600133,0.00019998000199980003,2,0.44577006507592193,0.44143167028199565,0.0031774600317746003,cold
county,20,Michigan,Genesee,597,229,177.57233798437727,1.2896152779164698,4.781629114668893,0.00019998000199980003,36,0.254606365159129,0.7386934673366834,0.0031774600317746003,cold
county,20,California,Alameda,1603,731,674.8389494743989,1.0832214124115722,2.929315337146038,0.003999600039996,5,0.30442919525888956,0.6294447910168434,0.030102252932601475,cold
county,20,Texas,Starr,65,22,12.948271167510272,1.6990685254725182,2.9205784157727432,0.008799120087991202,12,0.9846153846153847,0.0,0.05991781774203532,
county,20,Michigan,Ottawa,21,9,4.285260347736761,2.1002224531709737,2.7234353597709244,0.0197980201979802,7,1.0,0.0,0.10485618104856181,
county,20,Texas,Bell,180,52,37.67546364567901,1.3802086283273616,2.7150098229346655,0.0105989401059894,19,0.6222222222222222,0.36666666666666664,0.06589775805028193,
county,20,California,Del Norte,20,8,4.3274107172371625,1.8486805442649556,2.0505219732280424,0.09299070092990701,3,0.9,0.0,0.34096590340965904,
county,20,California,Kern,697,239,218.5750603783361,1.0934458834704652,1.7318249004948176,0.09119088091190881,17,0.7905308464849354,0.17790530846484937,0.34096590340965904,
county,20,Texas,Chambers,23,7,4.059765628725308,1.724237465944031,1.6699075418323197,0.17278272172782722,4,0.6956521739130435,0.30434782608695654,0.525700621427219,
county,20,California,Madera,98,38,30.72972635178924,1.2365876469247326,1.644841676109424,0.138986101389861,4,0.7857142857142857,0.1326530612244898,0.47321458330357435,
county,20,Texas,Hidalgo,356,85,73.72857846331445,1.1528772393501923,1.556085944429843,0.1461853814618538,35,0.9971910112359551,0.0028089887640449437,0.4757524247575242,
county,20,Michigan,Saginaw,254,84,73.76595906666833,1.1387366349305148,1.4625883366862282,0.1635836416358364,11,0.31496062992125984,0.6732283464566929,0.5085317555201001,
county,20,Texas,Medina,20,5,2.7950289112433957,1.788890261523521,1.435724299503743,0.27317268273172685,5,1.0,0.0,0.6218743205044575,
