Victim Race,Victim Sex,clearance_rate,n
Asian/Pacific Islander,Female,0.7745483110761979,1273
Asian/Pacific Islander,Male,0.6334498834498834,3432
Black,Female,0.6999492299881537,11818
Black,Male,0.6470475192173305,57240
Black,Unknown,0.25,4
Native American/Alaska Native,Female,0.782608695652174,161
Native American/Alaska Native,Male,0.7316561844863732,477
Unknown,Female,0.5679214402618658,611
Unknown,Male,0.5157437567861021,1842
Unknown,Unknown,0.23255813953488372,172
White,Female,0.774851796588297,24797
White,Male,0.6818962594643463,88490
White,Unknown,0.6666666666666666,9
