edge_type,k,profile,space,similarity,oracle_null,oracle_match,oracle_lift,n_oracle_pairs,n_oracle_blocks
geo,20,perp_sex_race_age,blind,onehot,0.07241930708261289,0.09315548712122344,0.020736180038610552,1337860,241
geo,20,perp_sex_race_age,blind,onehot_idf,0.07241930708261289,0.09116574230487495,0.01874643522226206,1337860,241
geo,20,perp_sex_race_age,blind,ordinal,0.07241930708261289,0.08761155875801653,0.01519225167540364,1337860,241
geo,20,perp_sex_race_age,blind,ordinal_idf,0.07241930708261289,0.08669890721002198,0.014279600127409087,1337860,241
geo,20,perp_sex_race_age,sighted,onehot,0.07241930708261289,0.11111551283392881,0.038696205751315924,1337860,241
geo,20,perp_sex_race,blind,onehot,0.5087374503976914,0.5273388758092996,0.018601425411608252,1359200,241
geo,20,perp_sex_race,blind,onehot_idf,0.5087374503976914,0.5258335785756327,0.017096128177941372,1359200,241
geo,20,perp_sex_race,blind,ordinal,0.5087374503976914,0.5294783696291936,0.02074091923150223,1359200,241
geo,20,perp_sex_race,blind,ordinal_idf,0.5087374503976914,0.530180253090053,0.02144280269236165,1359200,241
geo,20,perp_sex_race,sighted,onehot,0.5087374503976914,0.6250831371394938,0.11634568674180246,1359200,241
geo,20,relationship,blind,onehot,0.20982744630591388,0.25046429663485525,0.040636850328941376,1242740,231
geo,20,relationship,blind,onehot_idf,0.20982744630591388,0.24165553534930878,0.0318280890433949,1242740,231
geo,20,relationship,blind,ordinal,0.20982744630591388,0.24593157056182308,0.0361041242559092,1242740,231
geo,20,relationship,blind,ordinal_idf,0.20982744630591388,0.2427450633278079,0.032917617021894024,1242740,231
geo,20,relationship,sighted,onehot,0.20982744630591388,0.2814120411349116,0.0715845948289977,1242740,231
temporal,20,perp_sex_race_age,blind,onehot,0.06171900808968486,0.08398195940040566,0.0222629513107208,2425640,420
temporal,20,perp_sex_race_age,blind,onehot_idf,0.06171900808968486,0.08284329084282911,0.02112428275314425,2425640,420
temporal,20,perp_sex_race_age,blind,ordinal,0.06171900808968486,0.08470506752856978,0.022986059438884918,2425640,420
temporal,20,perp_sex_race_age,blind,ordinal_idf,0.06171900808968486,0.08248049999175475,0.020761491902069884,2425640,420
temporal,20,perp_sex_race_age,sighted,onehot,0.06171900808968486,0.10937690671327979,0.04765789862359493,2425640,420
temporal,20,perp_sex_race,blind,onehot,0.41276331391706583,0.4580093873169356,0.045246073399869746,2552380,420
temporal,20,perp_sex_race,blind,onehot_idf,0.41276331391706583,0.4508721271910922,0.038108813274026376,2552380,420
temporal,20,perp_sex_race,blind,ordinal,0.41276331391706583,0.4645667964801479,0.05180348256308209,2552380,420
temporal,20,perp_sex_race,blind,ordinal_idf,0.41276331391706583,0.46165343718411833,0.0488901232670525,2552380,420
temporal,20,perp_sex_race,sighted,onehot,0.41276331391706583,0.6069472413982244,0.1941839274811586,2552380,420
temporal,20,relationship,blind,onehot,0.21008114703930933,0.2624374663280228,0.052356319288713454,2078880,420
temporal,20,relationship,blind,onehot_idf,0.21008114703930933,0.24836739013314862,0.038286243093839295,2078880,420
temporal,20,relationship,blind,ordinal,0.21008114703930933,0.2669634610944355,0.05688231405512614,2078880,420
temporal,20,relationship,blind,ordinal_idf,0.21008114703930933,0.25782921573154777,0.04774806869223844,2078880,420
temporal,20,relationship,sighted,onehot,0.21008114703930933,0.2880300931270684,0.07794894608775907,2078880,420
weapon,20,perp_sex_race_age,blind,onehot,0.08890162511608118,0.11175624974511643,0.022854624629035244,980840,83
weapon,20,perp_sex_race_age,blind,onehot_idf,0.08890162511608118,0.11085905958158314,0.021957434465501954,980840,83
weapon,20,perp_sex_race_age,blind,ordinal,0.08890162511608118,0.1039547734594837,0.015053148343402517,980840,83
weapon,20,perp_sex_race_age,blind,ordinal_idf,0.08890162511608118,0.10380388238652584,0.014902257270444655,980840,83
weapon,20,perp_sex_race_age,sighted,onehot,0.08890162511608118,0.11201113331430203,0.023109508198220843,980840,83
weapon,20,perp_sex_race,blind,onehot,0.618316686851317,0.6345479760421273,0.016231289190810294,995080,83
weapon,20,perp_sex_race,blind,onehot_idf,0.618316686851317,0.6342786509627366,0.01596196411141959,995080,83
weapon,20,perp_sex_race,blind,ordinal,0.618316686851317,0.6325571813321542,0.014240494480837196,995080,83
weapon,20,perp_sex_race,blind,ordinal_idf,0.618316686851317,0.633889737508542,0.01557305065722503,995080,83
weapon,20,perp_sex_race,sighted,onehot,0.618316686851317,0.6336887486433251,0.015372061792008118,995080,83
weapon,20,relationship,blind,onehot,0.2281936312946822,0.28265553108441094,0.054461899789728735,917180,83
weapon,20,relationship,blind,onehot_idf,0.2281936312946822,0.2789103556553784,0.050716724360696214,917180,83
weapon,20,relationship,blind,ordinal,0.2281936312946822,0.27649316382825617,0.04829953253357397,917180,83
weapon,20,relationship,blind,ordinal_idf,0.2281936312946822,0.2768834906997536,0.048689859405071395,917180,83
weapon,20,relationship,sighted,onehot,0.2281936312946822,0.2828921258640616,0.05469849456937939,917180,83
