attribute,model,group_set,n_groups,groups,base_rate_gap,base_rate_gap_lo,base_rate_gap_hi,selection_rate_gap,selection_rate_gap_lo,selection_rate_gap_hi,selection_rate_max_group,selection_rate_min_group,selection_rate_amplification,selection_rate_amplification_lo,selection_rate_amplification_hi,tpr_gap,tpr_gap_lo,tpr_gap_hi,tpr_max_group,tpr_min_group,tpr_amplification,tpr_amplification_lo,tpr_amplification_hi,fpr_gap,fpr_gap_lo,fpr_gap_hi,fpr_max_group,fpr_min_group,fpr_amplification,fpr_amplification_lo,fpr_amplification_hi
Victim Race,graphsage_geo,named_all,4,Black | White | Asian/Pacific Islander | Native American/Alaska Native,0.06978136582096006,0.04256496335893422,0.13546792345797126,0.3316177105661948,0.26640696770546257,0.39337797093256066,Native American/Alaska Native,Asian/Pacific Islander,4.752238748336273,2.525152135916907,7.763760447088277,0.32496815887541863,0.25804607046070466,0.39415262088818537,Native American/Alaska Native,Asian/Pacific Islander,4.656947525349364,2.3587938646870064,7.911379774887956,0.3178628754872736,0.17511797403104945,0.46166417362681095,Native American/Alaska Native,Asian/Pacific Islander,4.555125451439615,1.7881860850955593,8.357524051079265
Victim Race,graphsage_geo,named_n>=1000,3,Black | White | Asian/Pacific Islander,0.047561308055325324,0.03974130314162618,0.06043604518506957,0.1489963162467799,0.12154897516655386,0.1758567260929431,White,Asian/Pacific Islander,3.132721162198926,2.300998825917042,3.9962531786315094,0.15996939640511454,0.12776052136524393,0.19257461917836366,White,Asian/Pacific Islander,3.363435593887186,2.451872678090446,4.3897454672009015,0.1121678934279613,0.0947100266785843,0.1559468301596249,White,Asian/Pacific Islander,2.3583853769850665,1.7915897806421321,3.410705700073521
Victim Race,graphsage_geo,named_n>=5000,2,Black | White,0.047561308055325324,0.03925622360479011,0.05561599065113367,0.10391444109917025,0.09532879556798805,0.11225039486746868,White,Black,2.1848524640721103,1.8598547090679594,2.5953503160284703,0.08171441925205547,0.07205029320594454,0.0926181605696347,White,Black,1.7180860365951627,1.4131634933079056,2.1252184279909576,0.10622819258192484,0.09112559463675332,0.1198917152338995,White,Black,2.2335002321289337,1.7404334590979686,2.7828180866297756
Victim Race,graphsage_geo_blind,named_all,4,Black | White | Asian/Pacific Islander | Native American/Alaska Native,0.06978136582096006,0.04338949801783363,0.13669384273133822,0.14684082004412724,0.10079957271030104,0.2274810771127286,Native American/Alaska Native,Asian/Pacific Islander,2.1042984515505285,0.9835960314100276,4.138097544852073,0.13797820651917547,0.10166013677690153,0.22079235208758544,Native American/Alaska Native,Asian/Pacific Islander,1.9772930050293067,0.9576253425912076,4.3329870732300435,0.14093097913322628,0.08221373656157879,0.2980634890894159,Native American/Alaska Native,Asian/Pacific Islander,2.0196076341471545,0.7783321184004846,5.337678450920666
Victim Race,graphsage_geo_blind,named_n>=1000,3,Black | White | Asian/Pacific Islander,0.047561308055325324,0.03938314467210316,0.05925758963888229,0.12122480706356142,0.09232037206016541,0.14842581963236595,White,Asian/Pacific Islander,2.548811460831725,1.7592081445869747,3.3608941671146684,0.1298641043323533,0.09653332885244446,0.16224352088159416,White,Asian/Pacific Islander,2.7304569542387243,1.909298286360043,3.6773388106975364,0.09061224671298007,0.07596383268731927,0.1321657847140726,White,Asian/Pacific Islander,1.905167255021163,1.4464579864024436,2.8951591598231485
Victim Race,graphsage_geo_blind,named_n>=5000,2,Black | White,0.047561308055325324,0.039132995675711095,0.055610268004204655,0.07054636441259282,0.062058592248120784,0.08028776138778387,White,Black,1.483272165907008,1.2393793117645417,1.7817786368175668,0.04285707527479954,0.0323791776571771,0.05354392733258683,White,Black,0.9010911816165017,0.6570728452812519,1.1942628272118048,0.08660351444744757,0.07201814726559795,0.10092723921624241,White,Black,1.820881678584338,1.437522792667132,2.293342030952179
Victim Race,graphsage_temporal_blind,named_all,4,Black | White | Asian/Pacific Islander | Native American/Alaska Native,0.06978136582096006,0.04276234583963625,0.13689139932599456,0.10846112171106875,0.08159178149096621,0.18638720074749326,Native American/Alaska Native,Asian/Pacific Islander,1.5542992091807202,0.7793315257187504,3.2402179398518087,0.13181923298797205,0.10088366347889717,0.20478145165997644,Black,Asian/Pacific Islander,1.8890319992615825,0.9197527308233264,3.818117389627625,0.06770655113877022,0.04700020522476048,0.21988793051650585,White,Asian/Pacific Islander,0.9702669235865453,0.4980176206080857,3.8069190731157736
Victim Race,graphsage_temporal_blind,named_n>=1000,3,Black | White | Asian/Pacific Islander,0.047561308055325324,0.0402392322435845,0.06009916178985735,0.10448820468542014,0.07535240403326827,0.13253983828116225,White,Asian/Pacific Islander,2.196916126946615,1.4455284710614722,2.8964218785490483,0.13181923298797205,0.09922851756547231,0.1626989161877596,Black,Asian/Pacific Islander,2.771564500173846,1.896496083317571,3.6460648809516725,0.06770655113877022,0.03967605592959823,0.11319555346201375,White,Asian/Pacific Islander,1.4235636887869252,0.7803468475415574,2.4841981546110103
Victim Race,graphsage_temporal_blind,named_n>=5000,2,Black | White,0.047561308055325324,0.04021743403655243,0.05575449937165401,0.017171916051163527,0.008735262223520043,0.02614481129851994,White,Black,0.361048018931448,0.1910020791213547,0.5403287919202105,0.015396215970544302,0.005131876219989579,0.025237476024161255,Black,White,0.3237130474341617,0.09738601009398669,0.5479662256142175,0.04609403677752538,0.03154678711252584,0.06217675943230184,White,Black,0.9691498964643035,0.6413576094957304,1.3662351945201012
Victim Race,logreg,named_all,4,Black | White | Asian/Pacific Islander | Native American/Alaska Native,0.06978136582096006,0.04281212827888989,0.13414218868464808,0.46410540283764795,0.41004885795271634,0.5230865113576583,Native American/Alaska Native,Asian/Pacific Islander,6.650850085514459,3.3606809647016505,10.866842232247137,0.4121184961554791,0.3487472060095891,0.4753099330308587,Native American/Alaska Native,Asian/Pacific Islander,5.905853107158474,2.963903346385691,9.68034351006841,0.5762439807383627,0.4758559259879105,0.6807266974926744,Native American/Alaska Native,Asian/Pacific Islander,8.257848982446797,4.082889999197816,14.049380724715906
