attribute,model,group_set,n_groups,groups,stratum,n_strata,n_strata_used,min_stratum_n,n_standardized,base_rate_gap,base_rate_gap_lo,base_rate_gap_hi,selection_rate_gap,selection_rate_gap_lo,selection_rate_gap_hi,selection_rate_max_group,selection_rate_min_group,selection_rate_amplification,selection_rate_amplification_lo,selection_rate_amplification_hi,tpr_gap,tpr_gap_lo,tpr_gap_hi,tpr_max_group,tpr_min_group,tpr_amplification,tpr_amplification_lo,tpr_amplification_hi,fpr_gap,fpr_gap_lo,fpr_gap_hi,fpr_max_group,fpr_min_group,fpr_amplification,fpr_amplification_lo,fpr_amplification_hi
Victim Race,graphsage_geo,named_n>=1000,3,Black | White | Asian/Pacific Islander,State,3,2,100,47677,0.04832790472393367,0.0349587911767488,0.07519482318082667,0.08555859371716423,0.07627971875627244,0.09452841975207966,White,Black,1.770376642767892,1.1281021067329693,2.4409364677640233,0.07655660775265405,0.06698563272514557,0.09546728797852576,White,Black,1.5841077363062368,1.013627447311943,2.363277100595774,0.0808164282585822,0.06685237904428273,0.1229146026495851,White,Black,1.6722518536699376,1.07332247524652,2.72437113064951
Victim Race,graphsage_geo,named_n>=5000,2,Black | White,State,3,3,100,54691,0.05144294590720999,0.0433384519276733,0.059490220014888275,0.11293670726294902,0.10509944793713645,0.12151104204764611,White,Black,2.1953779137504714,1.890718043962155,2.605168305423885,0.10224398469412499,0.09248584726421431,0.11230393967331342,White,Black,1.9875219603198302,1.6471268270953734,2.437548600420235,0.10188585138954592,0.08740726409729091,0.11708251632218845,White,Black,1.9805602030125202,1.6075673028557302,2.4793825302183152
Victim Race,graphsage_geo_blind,named_n>=1000,3,Black | White | Asian/Pacific Islander,State,3,2,100,47677,0.04832790472393367,0.035430668135789656,0.07529230962330502,0.04833111962014636,0.03955007754935743,0.06181553917494535,White,Black,1.0000665225656078,0.632257714037688,1.4158236314339923,0.03300058714032961,0.023556047589470785,0.05302426941105648,White,Black,0.6828474631548958,0.3933478288057051,1.2077050486803198,0.07429487238448623,0.0468819096288969,0.12142070318528352,Asian/Pacific Islander,Black,1.5373079550807178,0.7935211408501736,2.795587371771543
Victim Race,graphsage_geo_blind,named_n>=5000,2,Black | White,State,3,3,100,54691,0.05144294590720999,0.043508524305307064,0.05949929965015089,0.07289729432316827,0.06519569253423123,0.08090424703009545,White,Black,1.4170513184578597,1.204458747240182,1.6834115863634291,0.05795109622276473,0.04852376919422056,0.06755918242219042,White,Black,1.1265120066664494,0.8947873396067062,1.4144260945618192,0.07034947193968716,0.055944491308869214,0.08468159711879433,White,Black,1.3675241706915413,1.0516866978742727,1.7692507233075299
Victim Race,graphsage_temporal_blind,named_n>=1000,3,Black | White | Asian/Pacific Islander,State,3,2,100,47677,0.04832790472393367,0.03556084221202843,0.07569013390106785,0.021113440558435337,0.008758320584232556,0.04331654891288194,Asian/Pacific Islander,Black,0.43687887316950497,0.17050760823198124,0.8786751435625446,0.015417750436059197,0.0037823168731712627,0.042919521868237456,Black,Asian/Pacific Islander,0.31902377154836153,0.07682152293884685,0.9543866727316601,0.07526243744996808,0.03310705423696632,0.11811490997404861,Asian/Pacific Islander,Black,1.5573287913037845,0.6289897208531259,2.7415274625943558
Victim Race,graphsage_temporal_blind,named_n>=5000,2,Black | White,State,3,3,100,54691,0.05144294590720999,0.043109029774313544,0.05988114417444862,0.028303906659210232,0.02000103183006533,0.03655233810543568,White,Black,0.5501999576436251,0.39018241737222703,0.7310112776626343,0.005566094706350055,0.0002785749661803227,0.014937511489753957,White,Black,0.1081993771583353,0.005632555845598575,0.30248240242574237,0.03957018087133196,0.023740601039093635,0.054487711506188134,White,Black,0.7692051878736983,0.46228335156645395,1.112700866181259
Victim Race,logreg,named_n>=1000,3,Black | White | Asian/Pacific Islander,State,3,2,100,47677,0.04832790472393367,0.03506411205767741,0.07371443252600467,0.12264320073412704,0.11416951248113347,0.1311345178119406,White,Black,2.537730560319323,1.6288182166821155,3.4903508897588997,0.12483265563100232,0.11500979284437836,0.13470759743191046,White,Black,2.5830347155352844,1.6562623372693839,3.591132703281262,0.11042309140194007,0.09708504911086757,0.14489291805645427,White,Black,2.2848723120258656,1.4857782945880136,3.5615546505367983
Victim Race,logreg,named_n>=5000,2,Black | White,State,3,3,100,54691,0.05144294590720999,0.04291880832508519,0.059520475426889645,0.15627682602683945,0.14927109127337193,0.16363278503134107,White,Black,3.0378669664199083,2.623604226950969,3.5965272070386476,0.1538045893685832,0.14466666166332207,0.1638531568639749,White,Black,2.98980913041037,2.549364695793494,3.6247451557524344,0.14562236964716097,0.13042502992477495,0.15995459153596098,White,Black,2.8307548698674205,2.3620829917880357,3.4629165950640184
Victim Race,logreg_blind,named_n>=1000,3,Black | White | Asian/Pacific Islander,State,3,2,100,47677,0.04832790472393367,0.035431798306576986,0.07445996168776488,0.02370755931186519,0.011878655549146785,0.045341700536982006,Asian/Pacific Islander,Black,0.49055632449391867,0.22123571258249594,1.014326105263268,0.0022990082413325563,0.0020628464643337703,0.032053049668809085,White,Asian/Pacific Islander,0.04757103074228681,0.040955819349047067,0.7242805717428247,0.07049580261390836,0.03284402459573939,0.10960207288397601,Asian/Pacific Islander,Black,1.4586976823556843,0.5854032717545271,2.5488162416475864
Victim Race,logreg_blind,named_n>=5000,2,Black | White,State,3,3,100,54691,0.05144294590720999,0.04310815692968755,0.05977687953101883,0.033247769742897504,0.025599072124597243,0.0405623489945774,White,Black,0.6463037673399972,0.49547564845634395,0.8255625285610543,0.013844213803300032,0.004695046053767327,0.022577277259662073,White,Black,0.2691178267331633,0.0931941554014119,0.46703108482273925,0.05273963720030039,0.03790471083892543,0.06704685771934679,White,Black,1.0252063965277047,0.707249979348168,1.378477319751723
Victim Race,xgboost,named_n>=1000,3,Black | White | Asian/Pacific Islander,State,3,2,100,47677,0.04832790472393367,0.03539672407356707,0.07509523639255462,0.07927226962114775,0.07111782494959938,0.08874486934775974,White,Black,1.640300155241147,1.0416782696782805,2.243114784275346,0.06870585174015065,0.05802689990449307,0.07992068516945303,White,Black,1.4216600560819495,0.8844195091694991,2.0165021306688633,0.07908235927590246,0.06562834771284942,0.1268061980883816,Asian/Pacific Islander,Black,1.6363705343248227,1.0430495473732029,2.871161669688508
Victim Race,xgboost,named_n>=5000,2,Black | White,State,3,3,100,54691,0.05144294590720999,0.04344545938485583,0.05964655267869821,0.10993633745881981,0.10245148047332736,0.11809503963053512,White,Black,2.1370536916201694,1.8425813545115297,2.53170062626476,0.09792879191056791,0.08834022737607201,0.1073917846533314,White,Black,1.903638879608617,1.5951034525974213,2.316128980059435,0.10174620003485862,0.0873316737248332,0.1162049515116095,White,Black,1.9778455187691415,1.5989623251028855,2.447086052386184
Victim Race,xgboost_blind,named_n>=1000,3,Black | White | Asian/Pacific Islander,State,3,2,100,47677,0.04832790472393367,0.03526086221215985,0.07654302869992141,0.01868925353409656,0.007172893146476694,0.040644361514742246,Asian/Pacific Islander,Black,0.3867176456512295,0.14416606902461224,0.8691654256169978,0.017195873788866,0.004499552666010409,0.04418438454654971,Black,Asian/Pacific Islander,0.3558166630044278,0.0893867914283829,0.9551902729219647,0.07180850684270224,0.02863799852434062,0.11516660306338576,Asian/Pacific Islander,Black,1.4858601309719135,0.5717242899197814,2.5869827465457225
Victim Race,xgboost_blind,named_n>=5000,2,Black | White,State,3,3,100,54691,0.05144294590720999,0.042669136939394156,0.059974981339231875,0.03314413872613997,0.024751860924078117,0.041263432640071256,White,Black,0.6442892828479064,0.4829166135853257,0.8278604250658832,0.011672548814347428,0.0014094780145308989,0.021293724834322857,White,Black,0.2269028067599733,0.02664599404062059,0.41946884982335014,0.04125163337561788,0.026460630394707776,0.05556387336612626,White,Black,0.801890961882808,0.4990513004263022,1.1420415774919535
