attribute,model,group_set,n_groups,groups,stratum,n_strata,n_strata_used,min_stratum_n,n_standardized,base_rate_gap,base_rate_gap_lo,base_rate_gap_hi,selection_rate_gap,selection_rate_gap_lo,selection_rate_gap_hi,selection_rate_max_group,selection_rate_min_group,selection_rate_amplification,selection_rate_amplification_lo,selection_rate_amplification_hi,tpr_gap,tpr_gap_lo,tpr_gap_hi,tpr_max_group,tpr_min_group,tpr_amplification,tpr_amplification_lo,tpr_amplification_hi,fpr_gap,fpr_gap_lo,fpr_gap_hi,fpr_max_group,fpr_min_group,fpr_amplification,fpr_amplification_lo,fpr_amplification_hi
Victim Race,graphsage_geo_blind,named_n>=5000,2,Black | White,State|City,380,56,20,48066,0.015251056399207763,0.005410816147773908,0.02551621697991871,0.010276897664664442,0.0010628834720118802,0.01941295454638509,Black,White,0.6738482499611167,0.06966531341653565,2.3925491188075156,0.026461497116857746,0.014311861120632702,0.037838948541011656,Black,White,1.7350599476002413,0.7643113858895765,4.795829715593789,0.008152098811835873,0.0004769471759092481,0.02668822483333261,White,Black,0.5345268287290148,0.030525573527349026,2.3212632504635846
Victim Race,graphsage_geo_blind,named_n>=5000,2,Black | White,State|City,380,40,30,45786,0.017740011264114952,0.007372531436623273,0.027880318742317143,0.007415725367364456,0.0005081885493994174,0.01752916753822888,Black,White,0.41802258504565987,0.025705265919852286,1.5984391396094297,0.02523150493857207,0.01388808713709099,0.03689087853171803,Black,White,1.422293625574587,0.6582746760786962,3.5744336567729387,0.009669074969993696,0.0006530045354419603,0.02689278069923202,White,Black,0.5450433388141417,0.03309160250557007,2.0404847559663377
Victim Race,graphsage_geo_blind,named_n>=5000,2,Black | White,State|City,380,33,50,44606,0.01855525726091589,0.008992449815431616,0.02868641988094,0.005801225555848666,0.00043278574849748007,0.015553251471447035,Black,White,0.31264592423992704,0.022741828764217212,1.27083889922324,0.02334861508721675,0.011190618609584766,0.03570649007571514,Black,White,1.2583288261056564,0.5459372056750219,2.9935761067653246,0.008767448323221738,0.00043059460786335353,0.025870663221968484,White,Black,0.4725048108974036,0.026908731579148474,1.6421562353260073
Victim Race,xgboost_blind,named_n>=5000,2,Black | White,State|City,380,56,20,48066,0.015251056399207763,0.0048594573496567066,0.025391002788432048,0.017455816639000865,0.00804806386157408,0.027451478550808227,White,Black,1.144564427675163,0.4919603640005392,3.4141144233555667,0.0024457090455674013,0.00021502994692641498,0.014781957887744333,White,Black,0.1603632549476669,0.013673215403414343,1.4485216389755462,0.029044722512292065,0.010389497087279598,0.047633495592124486,White,Black,1.9044400434976316,0.6058180058116448,5.758606782324924
Victim Race,xgboost_blind,named_n>=5000,2,Black | White,State|City,380,40,30,45786,0.017740011264114952,0.008353357562594147,0.02769748709245675,0.018673681034608203,0.0095753225767821,0.02823780013886384,White,Black,1.0526307315476122,0.49986609212224387,2.3515453559656194,0.002467044100099458,0.00021142749083541136,0.01489708743416671,White,Black,0.13906665916779162,0.011556411726322314,0.972784671764516,0.02888897283652586,0.012157451992340192,0.0461039248639756,White,Black,1.6284641766244747,0.6078451954264521,3.7668094470908775
Victim Race,xgboost_blind,named_n>=5000,2,Black | White,State|City,380,33,50,44606,0.01855525726091589,0.00857868537722204,0.02810832030810726,0.019523602502236392,0.010420301160831582,0.030184238592592647,White,Black,1.0521871094377218,0.5128424205828378,2.2155973195959016,0.0034965535157572836,0.00020827920462934414,0.015761849740579002,White,Black,0.18844004513601084,0.009883556839040774,1.0827153188966216,0.027819553610692105,0.011482516812189416,0.04500960628214132,White,Black,1.4992814823047582,0.5227504683535277,3.8750172429450984
Victim Sex,graphsage_geo_blind,named_all,2,Female | Male,State|City,380,67,20,52368,0.06945691806951515,0.0596720068892137,0.07957209596438565,0.036846780118999445,0.026878986018745814,0.04676281820767936,Female,Male,0.5304983454941345,0.3860991552608205,0.6851354545476706,0.0347846386286077,0.02277112550872621,0.04671410811743783,Female,Male,0.5008088408672826,0.31744326738015866,0.6942604732144275,0.007771588673680108,0.0004918579521023356,0.02638187152697346,Male,Female,0.1118907790567673,0.00687330798176767,0.390452382895757
Victim Sex,graphsage_geo_blind,named_all,2,Female | Male,State|City,380,52,30,51046,0.07078704715755335,0.06034771984764508,0.08083607966364319,0.03782307758322179,0.02825919257363384,0.04735637987167108,Female,Male,0.5343220137299634,0.3981519222299666,0.6854832558623656,0.03606679305832339,0.024729730157763356,0.047626762309240386,Female,Male,0.5095111959967505,0.338746054457135,0.7059356496612688,0.007889283424380555,0.0004129067909797349,0.026493852108582825,Male,Female,0.11145094676461197,0.005984013854372092,0.36945238146532583
Victim Sex,graphsage_geo_blind,named_all,2,Female | Male,State|City,380,35,50,48233,0.07308111255426497,0.062340260662458964,0.08299820449331015,0.039321106531502725,0.028685625177254856,0.05016262191049489,Female,Male,0.5380474538110732,0.3973313203680101,0.7013765628740498,0.03717972175937756,0.02479735476061864,0.05035244612260883,Female,Male,0.5087459736162401,0.3314446625305045,0.7151721157729851,0.004786508878756257,0.0004789212939122475,0.023909213631051602,Male,Female,0.06549584032676195,0.006433195560295689,0.33655731461957344
Victim Sex,graphsage_geo_blind,named_n>=5000,2,Female | Male,State|City,380,67,20,52368,0.06945691806951515,0.0596720068892137,0.07957209596438565,0.036846780118999445,0.026878986018745814,0.04676281820767936,Female,Male,0.5304983454941345,0.3860991552608205,0.6851354545476706,0.0347846386286077,0.02277112550872621,0.04671410811743783,Female,Male,0.5008088408672826,0.31744326738015866,0.6942604732144275,0.007771588673680108,0.0004918579521023356,0.02638187152697346,Male,Female,0.1118907790567673,0.00687330798176767,0.390452382895757
Victim Sex,graphsage_geo_blind,named_n>=5000,2,Female | Male,State|City,380,52,30,51046,0.07078704715755335,0.06034771984764508,0.08083607966364319,0.03782307758322179,0.02825919257363384,0.04735637987167108,Female,Male,0.5343220137299634,0.3981519222299666,0.6854832558623656,0.03606679305832339,0.024729730157763356,0.047626762309240386,Female,Male,0.5095111959967505,0.338746054457135,0.7059356496612688,0.007889283424380555,0.0004129067909797349,0.026493852108582825,Male,Female,0.11145094676461197,0.005984013854372092,0.36945238146532583
