attribute,model,group,n,base_rate,selection_rate,tpr,fpr,tnr,accuracy,selection_rate_lo,selection_rate_hi,tpr_lo,tpr_hi,fpr_lo,fpr_hi
Victim Race,graphsage_geo,White,33973,0.7024990433579608,0.6095134371412593,0.6954663538087656,0.4065499158998714,0.5934500841001287,0.6651164159773938,0.6045087275189122,0.6147845347776175,0.6896182490789922,0.7013926527665427,0.3965378697387009,0.41631973544320894
Victim Race,graphsage_geo,Black,20718,0.6549377353026354,0.505598996042089,0.6137519345567102,0.30032172331794654,0.6996782766820534,0.6434018727676417,0.4987450526112559,0.5121150690221064,0.6059475217812311,0.6221656334728325,0.2904294108163667,0.31154591325160913
Victim Race,graphsage_geo,Asian/Pacific Islander,1431,0.6890286512928022,0.4605171208944794,0.5354969574036511,0.2943820224719101,0.7056179775280899,0.5883997204751922,0.43466107617051014,0.4856743535988819,0.5063868429249344,0.5644873319606173,0.25174452413258386,0.33612412572275185
Victim Race,graphsage_geo,Unknown,798,0.5050125313283208,0.19674185463659147,0.3176178660049628,0.07341772151898734,0.9265822784810127,0.6190476190476191,0.17039473684210527,0.22308897243107764,0.2718282047062695,0.3606262432509235,0.04971764215009208,0.10052195716454887
Victim Race,graphsage_geo,Native American/Alaska Native,178,0.7247191011235955,0.7921348314606742,0.8604651162790697,0.6122448979591837,0.3877551020408163,0.7303370786516854,0.7247191011235955,0.848314606741573,0.7984131841230985,0.9134357964869776,0.4716703662597114,0.7451069518716578
Victim Race,logreg,White,33973,0.7024990433579608,0.5905277720542784,0.6595156289281824,0.4276244187196992,0.5723755812803007,0.6335913813911047,0.5853177523327349,0.5957385276543137,0.6536859211742051,0.6653761691659187,0.41752011294560887,0.43735650550145017
Victim Race,logreg,Black,20718,0.6549377353026354,0.4634134568973839,0.5530252782076792,0.29332773814519514,0.7066722618548049,0.6060430543488754,0.45646297905203204,0.4703168742156579,0.5448087898117675,0.5613406462493608,0.2824213379681457,0.30380609065248637
Victim Race,logreg,Asian/Pacific Islander,1431,0.6890286512928022,0.41229909154437455,0.4716024340770791,0.2808988764044944,0.7191011235955056,0.5485674353598882,0.3857442348008386,0.4381551362683438,0.44006033122546084,0.5015108807336636,0.23786247240057865,0.3233504844946313
Victim Race,logreg,Unknown,798,0.5050125313283208,0.15162907268170425,0.23573200992555832,0.06582278481012659,0.9341772151898734,0.581453634085213,0.12656641604010024,0.17669172932330826,0.19461349612461434,0.27735734732824424,0.04392764857881137,0.09212092731829571
Victim Race,logreg,Native American/Alaska Native,178,0.7247191011235955,0.8764044943820225,0.8837209302325582,0.8571428571428571,0.14285714285714285,0.6797752808988764,0.8258426966292135,0.9213483146067416,0.8230223880597015,0.9375121124031007,0.7542763157894737,0.948728813559322
Victim Race,xgboost,White,33973,0.7024990433579608,0.6238483501604215,0.7040978798290455,0.4343524290095973,0.5656475709904026,0.6629087805021635,0.618990816236423,0.6290024431165926,0.6988300245193002,0.7100505315209222,0.4245070488550991,0.4445223654916926
Victim Race,xgboost,Black,20718,0.6549377353026354,0.5179554011004923,0.6237747807502395,0.31710728773255,0.68289271226745,0.6441741480837919,0.511001303214596,0.5245233613283136,0.6161170516720278,0.6326420102680366,0.30559774356452946,0.3291401135434912
Victim Race,xgboost,Asian/Pacific Islander,1431,0.6890286512928022,0.49266247379454925,0.5669371196754563,0.32808988764044944,0.6719101123595506,0.59958071278826,0.4660901467505241,0.517120894479385,0.535781694760156,0.5952387082536413,0.284086093990755,0.374734477124183
