attribute,model,group,n,base_rate,selection_rate,tpr,fpr,tnr,accuracy,selection_rate_lo,selection_rate_hi,tpr_lo,tpr_hi,fpr_lo,fpr_hi
Victim Race,graphsage_geo_blind,White,33973,0.7024990433579608,0.5642716274688724,0.6430486885108523,0.37825269615118234,0.6217473038488176,0.636711506196097,0.559325052247373,0.5698069054837666,0.637251573015294,0.6492478832951946,0.36875330256908906,0.3878529569889383
Victim Race,graphsage_geo_blind,Black,20718,0.6549377353026354,0.49372526305627956,0.6001916132360527,0.29164918170373477,0.7083508182962652,0.6375132734819964,0.4868206390578241,0.5003378704508157,0.5918441342715834,0.6079789063858164,0.28153214753932054,0.3026100138818778
Victim Race,graphsage_geo_blind,Asian/Pacific Islander,1431,0.6890286512928022,0.44304682040531096,0.513184584178499,0.2876404494382023,0.7123595505617978,0.5751222921034241,0.41579315164220826,0.46961914744933614,0.4823569148011032,0.5455582014853083,0.24660314830157418,0.3289299613948087
Victim Race,graphsage_geo_blind,Unknown,798,0.5050125313283208,0.2631578947368421,0.38461538461538464,0.13924050632911392,0.8607594936708861,0.6203007518796992,0.2343045112781955,0.29448621553884713,0.3385786700326581,0.43250657090464545,0.10553395361755312,0.1741424802110818
Victim Race,graphsage_geo_blind,Native American/Alaska Native,178,0.7247191011235955,0.5898876404494382,0.6511627906976745,0.42857142857142855,0.5714285714285714,0.6292134831460674,0.5224719101123596,0.6629213483146067,0.5681772727272728,0.7281308324001493,0.28300861361771945,0.5833333333333334
Victim Race,xgboost_blind,White,33973,0.7024990433579608,0.5864362876401849,0.6593480264811866,0.41426733946769567,0.5857326605323043,0.6374473846878403,0.5813395932063699,0.5916485149972036,0.6534422465748444,0.6653768744276842,0.40411425118405725,0.42399248818997065
Victim Race,xgboost_blind,Black,20718,0.6549377353026354,0.5546867458248865,0.6600339008033016,0.3547349279619527,0.6452650720380473,0.6549377353026354,0.548025871223091,0.5612993532194227,0.6522299060354084,0.6680933708112651,0.3433450887418637,0.36582312355202146
Victim Race,xgboost_blind,Asian/Pacific Islander,1431,0.6890286512928022,0.48427672955974843,0.5425963488843814,0.3550561797752809,0.6449438202247191,0.5744234800838575,0.4570230607966457,0.5115303983228512,0.5120700249400595,0.5745979080084438,0.3108033767263596,0.39813951832394456
Victim Race,xgboost_blind,Unknown,798,0.5050125313283208,0.31203007518796994,0.46898263027295284,0.1518987341772152,0.8481012658227848,0.656641604010025,0.27941729323308273,0.34461152882205515,0.4238032581453634,0.5181642463458385,0.11868686868686869,0.18722435715575267
Victim Race,xgboost_blind,Native American/Alaska Native,178,0.7247191011235955,0.5786516853932584,0.6434108527131783,0.40816326530612246,0.5918367346938775,0.6292134831460674,0.5112359550561798,0.651685393258427,0.5611374536734248,0.7244094488188977,0.26527724297266075,0.56
Victim Sex,graphsage_geo_blind,Male,45510,0.6662711491979785,0.5161942430235114,0.6102829628652463,0.3283513299973663,0.6716486700026336,0.63076246978686,0.5117106130520764,0.5209843990331795,0.6047895321927196,0.6158390260047001,0.3208210135612324,0.33545352478332646
Victim Sex,graphsage_geo_blind,Female,11538,0.7465765297278558,0.593603744149766,0.6648479219874622,0.38372093023255816,0.6162790697674418,0.6525394349107297,0.5846702201421391,0.6017550702028082,0.6546214597953562,0.6744927260343848,0.3657385945113683,0.4018134297955107
Victim Sex,graphsage_geo_blind,Unknown,50,0.34,0.14,0.23529411764705882,0.09090909090909091,0.9090909090909091,0.68,0.06,0.24,0.058823529411764705,0.4446969696969694,0.0,0.20588235294117646
Victim Sex,xgboost_blind,Male,45510,0.6662711491979785,0.5546693034497913,0.6443176571466263,0.3756913352646826,0.6243086647353173,0.6376400791034937,0.550186222808174,0.5595698747528016,0.6388535422416822,0.649392494871081,0.36789001365728785,0.383527071590665
Victim Sex,xgboost_blind,Female,11538,0.7465765297278558,0.625151672733576,0.6917808219178082,0.42886456908344733,0.5711354309165527,0.6612064482579303,0.6166558328999827,0.6333875021667533,0.6815883391361373,0.7014663012346415,0.41096549066561594,0.44695232155299186
Victim Sex,xgboost_blind,Unknown,50,0.34,0.08,0.17647058823529413,0.030303030303030304,0.9696969696969697,0.7,0.02,0.16,0.0,0.375,0.0,0.1
