attribute,group_set,model_a,model_b,metric,quantity,diff,diff_lo,diff_hi,significant,stratum,n_strata,n_strata_used,min_stratum_n,n_standardized,signed_as,gap_a,gap_b
Victim Race,named_n>=5000,graphsage_geo_blind,xgboost_blind,selection_rate,gap,-0.0071789189743364235,-0.02417308562982465,0.011323380623610093,False,State|City,380,56,20,48066,,,
Victim Race,named_n>=5000,graphsage_geo_blind,xgboost_blind,selection_rate,amplification,-0.4707161777140463,-1.844633574148099,0.9483475568640083,False,State|City,380,56,20,48066,,,
Victim Race,named_n>=5000,graphsage_geo_blind,xgboost_blind,tpr,gap,0.024015788071290345,0.0019193429212453319,0.034148220300276255,True,State|City,380,56,20,48066,,,
Victim Race,named_n>=5000,graphsage_geo_blind,xgboost_blind,tpr,amplification,1.5746966926525743,0.12524093986974208,4.1342478232244,True,State|City,380,56,20,48066,,,
Victim Race,named_n>=5000,graphsage_geo_blind,xgboost_blind,fpr,gap,-0.020892623700456192,-0.03078648831802107,-0.0035736637549740945,True,State|City,380,56,20,48066,,,
Victim Race,named_n>=5000,graphsage_geo_blind,xgboost_blind,fpr,amplification,-1.3699132147686168,-3.8728276834216726,-0.21355569763505183,True,State|City,380,56,20,48066,,,
Victim Race,named_n>=5000,graphsage_geo_blind,xgboost_blind,selection_rate,signed_gap,0.027732714303665307,0.02058518060944626,0.034458313102872305,True,State|City,380,56,20,48066,Black-White,0.010276897664664442,-0.017455816639000865
Victim Race,named_n>=5000,graphsage_geo_blind,xgboost_blind,tpr,signed_gap,0.028907206162425148,0.020061753766394887,0.038232437544883126,True,State|City,380,56,20,48066,Black-White,0.026461497116857746,-0.0024457090455674013
Victim Race,named_n>=5000,graphsage_geo_blind,xgboost_blind,fpr,signed_gap,0.020892623700456192,0.009138854921539041,0.03229658614537703,True,State|City,380,56,20,48066,Black-White,-0.008152098811835873,-0.029044722512292065
Victim Race,named_n>=5000,graphsage_geo_blind,xgboost_blind,selection_rate,gap,-0.011257955667243746,-0.02564003234724737,0.005906536393085111,False,State|City,380,40,30,45786,,,
Victim Race,named_n>=5000,graphsage_geo_blind,xgboost_blind,selection_rate,amplification,-0.6346081465019524,-1.7450195385812646,0.4622692436746527,False,State|City,380,40,30,45786,,,
Victim Race,named_n>=5000,graphsage_geo_blind,xgboost_blind,tpr,gap,0.02276446083847261,0.0010115958000612713,0.03283176933109032,True,State|City,380,40,30,45786,,,
Victim Race,named_n>=5000,graphsage_geo_blind,xgboost_blind,tpr,amplification,1.2832269664067955,0.047427092138408344,3.1315460893337477,True,State|City,380,40,30,45786,,,
Victim Race,named_n>=5000,graphsage_geo_blind,xgboost_blind,fpr,gap,-0.019219897866532165,-0.030166501733769682,-0.004020681183663567,True,State|City,380,40,30,45786,,,
Victim Race,named_n>=5000,graphsage_geo_blind,xgboost_blind,fpr,amplification,-1.083420837810333,-2.7917324348207986,-0.22016136913404608,True,State|City,380,40,30,45786,,,
Victim Race,named_n>=5000,graphsage_geo_blind,xgboost_blind,selection_rate,signed_gap,0.02608940640197266,0.019255539117627084,0.033222894140940505,True,State|City,380,40,30,45786,Black-White,0.007415725367364456,-0.018673681034608203
Victim Race,named_n>=5000,graphsage_geo_blind,xgboost_blind,tpr,signed_gap,0.027698549038671527,0.019072774609523842,0.03706259466184832,True,State|City,380,40,30,45786,Black-White,0.02523150493857207,-0.002467044100099458
Victim Race,named_n>=5000,graphsage_geo_blind,xgboost_blind,fpr,signed_gap,0.019219897866532165,0.006668026998208242,0.03060661765719524,True,State|City,380,40,30,45786,Black-White,-0.009669074969993696,-0.02888897283652586
Victim Race,named_n>=5000,graphsage_geo_blind,xgboost_blind,selection_rate,gap,-0.013722376946387727,-0.02768599695125979,0.0023895941862635156,False,State|City,380,33,50,44606,,,
Victim Race,named_n>=5000,graphsage_geo_blind,xgboost_blind,selection_rate,amplification,-0.7395411851977947,-1.8863925713963268,0.13083528045051016,False,State|City,380,33,50,44606,,,
Victim Race,named_n>=5000,graphsage_geo_blind,xgboost_blind,tpr,gap,0.019852061571459467,-0.00225962272547921,0.03071638817530952,False,State|City,380,33,50,44606,,,
Victim Race,named_n>=5000,graphsage_geo_blind,xgboost_blind,tpr,amplification,1.0698887809696456,-0.14539828384927306,2.479223379367221,False,State|City,380,33,50,44606,,,
Victim Race,named_n>=5000,graphsage_geo_blind,xgboost_blind,fpr,gap,-0.019052105287470367,-0.02924933153605212,-0.004530853666282224,True,State|City,380,33,50,44606,,,
Victim Race,named_n>=5000,graphsage_geo_blind,xgboost_blind,fpr,amplification,-1.0267766714073545,-2.446132148173466,-0.18309184985647692,True,State|City,380,33,50,44606,,,
Victim Race,named_n>=5000,graphsage_geo_blind,xgboost_blind,selection_rate,signed_gap,0.025324828058085058,0.01795893037066733,0.03214336341135007,True,State|City,380,33,50,44606,Black-White,0.005801225555848666,-0.019523602502236392
Victim Race,named_n>=5000,graphsage_geo_blind,xgboost_blind,tpr,signed_gap,0.026845168602974034,0.017566346854768294,0.03565724202564098,True,State|City,380,33,50,44606,Black-White,0.02334861508721675,-0.0034965535157572836
