candidate,mode,k,n_edges,avg_degree,isolated_nodes,isolated_pct,n_components,largest_component_pct,degree_std,degree_max
geo,shuffle,10,1898067,19.945430471927114,2,0.001050828578334,392,23.3867154251127,,
temporal,shuffle,10,1903260,20.0,0,0.0,420,0.4135010455744354,,
weapon,shuffle,10,1901390,19.98034950558516,14,0.0073558000483381,162,24.260479387997435,,
geo,shuffle,5,950781,9.991078465369943,2,0.001050828578334,392,23.3867154251127,,
temporal,shuffle,5,951630,10.0,0,0.0,420,0.4135010455744354,,
weapon,shuffle,5,951170,9.995166188539663,14,0.0073558000483381,162,24.260479387997435,,
geo,shuffle,20,3777172,39.69160282883053,2,0.001050828578334,392,23.3867154251127,,
temporal,shuffle,20,3806520,40.0,0,0.0,420,0.4135010455744354,,
weapon,shuffle,20,3797949,39.90993348255099,14,0.0073558000483381,162,24.260479387997435,,
geo,shuffle,30,5634333,59.207181362504336,2,0.001050828578334,392,23.3867154251127,,
temporal,shuffle,30,5709780,60.0,0,0.0,420,0.4135010455744354,,
weapon,shuffle,30,5689174,59.78346626314849,14,0.0073558000483381,162,24.260479387997435,,
geo,rank_onehot,20,2867228,30.12965122999485,2,0.001050828578334,392,23.3867154251127,22.05636096923036,300.0
geo,rank_onehot_control,20,2813832,29.56855080230762,11,0.005779557180837,400,23.3867154251127,21.87342097086187,300.0
temporal,rank_ordinal,20,2565799,26.962149154608408,0,0.0,422,0.41350104557443546,7.051698004371554,86.0
temporal,rank_ordinal_control,20,2481059,26.071677017328163,0,0.0,420,0.41350104557443546,6.598185328657777,79.0
