model,attribute,criterion,lambda,n_eval,acc_auc,acc_mcc,acc_f1,acc_sensitivity,acc_specificity,acc_balanced_accuracy,acc_precision,dp_gap,dp_amplification,dp_amplification_lo,dp_amplification_hi,tpr_gap,tpr_amplification,base_rate_gap,groups,thresholds
graphsage_geo,Victim Race,dp,0.0,28549,0.7102985410525524,0.28115133925040076,0.7218881708345041,0.6595810227972889,0.6398104265402843,0.6496957246687867,0.7971949857266973,0.10817650561209236,2.2826852370653183,1.826856809029975,3.000284172528169,0.08538053341584617,1.801656302894368,0.047390022879881144,Black | White,Black=0.500; White=0.500
graphsage_geo,Victim Race,dp,0.1,28549,0.7102985410525524,0.2818069874901018,0.7219942667640942,0.6595296775518587,0.640581946434476,0.6500558119931673,0.7975288712281138,0.09929384839947886,2.09524795232021,1.67167421601053,2.7180191753397067,0.0764935088713371,1.6141268609475916,0.047390022879881144,Black | White,Black=0.497; White=0.502
graphsage_geo,Victim Race,dp,0.2,28549,0.7102985410525524,0.2823736695183484,0.7229037419644612,0.6611213801601972,0.6394797751570594,0.6503005776586284,0.7974236700315848,0.08893781120749411,1.8767201575935843,1.5034661522568258,2.4578170037451663,0.06588925340680896,1.3903612913168995,0.047390022879881144,Black | White,Black=0.493; White=0.503
graphsage_geo,Victim Race,dp,0.3,28549,0.7102985410525524,0.2835295279021941,0.7228543334738025,0.6605565824604641,0.6413534663286675,0.6509550243945659,0.7981264346423476,0.07763029838255764,1.6381148111982582,1.2973089958919255,2.1370319480335596,0.05477340375143702,1.1558003229977423,0.047390022879881144,Black | White,Black=0.490; White=0.506
graphsage_geo,Victim Race,dp,0.4,28549,0.7102985410525524,0.283884596714817,0.7230540183713026,0.6608133086876156,0.6414636834564091,0.6511384960720124,0.7982385412144142,0.06758575116219812,1.42615991837579,1.1490666954227893,1.8826221543252741,0.04523138492886147,0.9544495271401083,0.047390022879881144,Black | White,Black=0.488; White=0.508
graphsage_geo,Victim Race,dp,0.5,28549,0.7102985410525524,0.2837336563052633,0.7230492668951183,0.6608646539330458,0.6412432492009258,0.6510539515669858,0.7981520525858862,0.05857260074312931,1.2359690327981587,0.9658345717548067,1.6315155981139176,0.036975454647881545,0.7802371132337862,0.047390022879881144,Black | White,Black=0.485; White=0.509
graphsage_geo,Victim Race,dp,0.6,28549,0.7102985410525524,0.28292337438944204,0.7226810494971627,0.6604538919696036,0.6408023806899592,0.6506281363297814,0.7978538642848282,0.047745025804636354,1.0074910899632825,0.7368453412449609,1.3640836400167502,0.025879600181020312,0.5460980731454169,0.047390022879881144,Black | White,Black=0.482; White=0.511
graphsage_geo,Victim Race,dp,0.7,28549,0.7102985410525524,0.2817610866670097,0.7223189708443346,0.6601971657424522,0.6398104265402843,0.6500037961413683,0.7973459010293935,0.0386350512182555,0.8152570703792071,0.5918296776479255,1.1376748008681719,0.017352017971323352,0.3661533993200484,0.047390022879881144,Black | White,Black=0.479; White=0.512
graphsage_geo,Victim Race,dp,0.8,28549,0.7102985410525524,0.2812095895048997,0.7224390106959377,0.6606592729513248,0.6387082552628679,0.6496837641070963,0.7969650046454011,0.026515093065561213,0.5595079186344489,0.33239384265209926,0.8470547049755196,0.004902279745281901,0.10344539730878889,0.047390022879881144,Black | White,Black=0.475; White=0.514
graphsage_geo,Victim Race,dp,0.9,28549,0.7102985410525524,0.28115342210941974,0.7220427540099441,0.6598890942698706,0.6394797751570594,0.649684434713465,0.7971221236742542,0.017897639455676462,0.3776668245348049,0.14463577806454944,0.6555983673253994,0.0033058505066239086,0.06975836485673796,0.047390022879881144,Black | White,Black=0.473; White=0.515
graphsage_geo,Victim Race,dp,1.0,28549,0.7102985410525524,0.2803400650763356,0.7214165261382799,0.6589648798521257,0.6395899922848011,0.6492774360684634,0.7969448584202683,0.008210902815539711,0.17326226738382838,0.00926828218386613,0.42892397428706475,0.013155606808910814,0.27760287945536877,0.047390022879881144,Black | White,Black=0.470; White=0.517
graphsage_geo,Victim Race,tpr,0.0,28549,0.7102985410525524,0.28115133925040076,0.7218881708345041,0.6595810227972889,0.6398104265402843,0.6496957246687867,0.7971949857266973,0.10817650561209236,2.2826852370653183,1.826856809029975,3.000284172528169,0.08538053341584617,1.801656302894368,0.047390022879881144,Black | White,Black=0.500; White=0.500
