blind,feature,importance
False,State=District of Columbia,0.07392019
False,State=New York,0.0585628
False,State=South Carolina,0.047266852
False,Weapon=Firearm,0.039405975
False,Age Group=0-4,0.03532758
False,Weapon=Strangulation,0.035326827
False,State=Tennessee,0.028839417
False,State=California,0.026957555
False,Weapon=Shotgun,0.025739608
False,State=Maryland,0.024022104
False,Weapon=Unknown,0.023868656
False,Age Group=95-99,0.023052437
False,Age Group=5-9,0.01898702
False,State=Illinois,0.018596748
False,Weapon=Rifle,0.017879749
False,Agency Type=Sheriff,0.015268106
False,State=Mississippi,0.015168645
False,State=Wisconsin,0.014552808
False,Weapon=Knife,0.0139079485
False,State=West Virginia,0.012519486
False,State=New Jersey,0.012313585
False,Weapon=Handgun,0.011834229
False,Victim Sex=Male,0.011180386
False,Victim Sex=Unknown,0.011102975
False,Victim Race=White,0.010773984
True,State=District of Columbia,0.11214009672403336
True,State=New York,0.06444889307022095
True,Age Group=0-4,0.042851608246564865
True,Weapon=Firearm,0.03896710276603699
True,State=California,0.032004404813051224
True,Weapon=Strangulation,0.031079938635230064
True,State=South Carolina,0.030246874317526817
True,State=Maryland,0.028477458283305168
True,Age Group=95-99,0.024913689121603966
True,Age Group=5-9,0.022437935695052147
True,Weapon=Unknown,0.02125161699950695
True,State=Tennessee,0.020924706012010574
True,Weapon=Shotgun,0.019958507269620895
True,State=Illinois,0.016852807253599167
True,State=Wisconsin,0.015346601605415344
True,Agency Type=Sheriff,0.015279838815331459
True,State=Arkansas,0.015139064751565456
True,Weapon=Gun,0.01404017023742199
True,Weapon=Handgun,0.013633977621793747
True,State=West Virginia,0.012330503202974796
True,State=New Jersey,0.012085683643817902
True,Weapon=Rifle,0.012083148583769798
True,Age Group=Unknown,0.011077646166086197
True,Age Group=10-14,0.00988620612770319
True,State=Iowa,0.008997087366878986
