attribute,model,group_set,n_groups,groups,base_rate_gap,base_rate_gap_lo,base_rate_gap_hi,selection_rate_gap,selection_rate_gap_lo,selection_rate_gap_hi,selection_rate_max_group,selection_rate_min_group,selection_rate_amplification,selection_rate_amplification_lo,selection_rate_amplification_hi,tpr_gap,tpr_gap_lo,tpr_gap_hi,tpr_max_group,tpr_min_group,tpr_amplification,tpr_amplification_lo,tpr_amplification_hi,fpr_gap,fpr_gap_lo,fpr_gap_hi,fpr_max_group,fpr_min_group,fpr_amplification,fpr_amplification_lo,fpr_amplification_hi
Victim Race,graphsage_geo_mb,named_all,4,Black | White | Asian/Pacific Islander | Native American/Alaska Native,0.1345627847544697,0.1133689051936544,0.15478739600805488,0.29872681241982557,0.2773692114801314,0.32006170130147016,Native American/Alaska Native,Black,2.2199809030773117,1.9363377091651761,2.609915373793282,0.2358638462268523,0.2150710715015855,0.25676471801789186,Native American/Alaska Native,Black,1.7528163277627007,1.4854851782195502,2.121730577464083,0.3095446646135496,0.25398586695779407,0.3649843566120899,Native American/Alaska Native,Black,2.3003735035534603,1.7955987675157878,2.8699059313499395
Victim Race,graphsage_geo_mb,named_n>=5000,2,Black | White,0.07632540249654818,0.07232463071488957,0.08052026204315035,0.17135631036966648,0.16697698884654197,0.17581314008950943,White,Black,2.245075751515573,2.132097958533298,2.3667284314723402,0.1357399511659121,0.13094899323666578,0.14028328713924929,White,Black,1.7784374104289975,1.6720906671271822,1.8978645569934207,0.1680095176847602,0.15986912784546067,0.17615284479736368,White,Black,2.2012267500634333,2.0473748814026744,2.3536787911553194
Victim Race,graphsage_geo_blind_mb,named_all,4,Black | White | Asian/Pacific Islander | Native American/Alaska Native,0.1345627847544697,0.11189854702565907,0.15501907146847288,0.2754732350181599,0.254107978692095,0.2950537383502258,Native American/Alaska Native,Black,2.0471725189160046,1.7777571271565362,2.437394880552821,0.21361817786475323,0.1931462799306361,0.24289187507707088,Native American/Alaska Native,Asian/Pacific Islander,1.5874981946496733,1.332766220350421,1.9849682423569959,0.2990288073129481,0.24011141036391154,0.35490752141661097,Native American/Alaska Native,Black,2.2222251706411376,1.7048699216739391,2.853840483794717
Victim Race,graphsage_geo_blind_mb,named_n>=5000,2,Black | White,0.07632540249654818,0.07211551089751422,0.0804830455421654,0.13775136303285862,0.13344121138232234,0.14200334691506458,White,Black,1.8047905222522533,1.7148755833130813,1.904296990636222,0.09991853350848745,0.09510546492137592,0.1046602472853927,White,Black,1.309112434919767,1.221267884181752,1.4093404895237187,0.1434776200909787,0.13513266389311937,0.15150161860257333,White,Black,1.8798147850902913,1.7385589811174815,2.0382393261600873
Victim Race,graphsage_fairloss_a0_mb,named_all,4,Black | White | Asian/Pacific Islander | Native American/Alaska Native,0.1345627847544697,0.11202939467137288,0.1552740664226334,0.28058415435399053,0.2606082208417274,0.30063851000408115,Native American/Alaska Native,Black,2.0851541892950496,1.791556246422364,2.4824519282590285,0.22624874972820186,0.20048827083032444,0.25473000705807075,Native American/Alaska Native,Asian/Pacific Islander,1.6813619764262993,1.3834289392310828,2.071553167691965,0.3064864210070212,0.25198256492187016,0.36268600424119496,Native American/Alaska Native,Black,2.277646241984754,1.7755872737394505,2.917422882726118
Victim Race,graphsage_fairloss_a0_mb,named_n>=5000,2,Black | White,0.07632540249654818,0.07218038702319415,0.08059288340780173,0.1375884417333325,0.132886403810516,0.14205451220947646,White,Black,1.8026559603082992,1.70707744855691,1.9058825581425416,0.09931449908679024,0.09412212476536144,0.10417741804675498,White,Black,1.3011984979873739,1.2036943272136715,1.40326154667004,0.1444630620311586,0.136020039517447,0.15241793576794663,White,Black,1.8927258462566503,1.741583389188864,2.0486335342869637
Victim Race,graphsage_fairloss_a10_mb,named_all,4,Black | White | Asian/Pacific Islander | Native American/Alaska Native,0.1345627847544697,0.11397080037881262,0.156218073177997,0.2432216605591847,0.2162998918517016,0.2703718140911439,Native American/Alaska Native,Asian/Pacific Islander,1.807495742622893,1.5238895390077802,2.1430951213486056,0.23285714285714287,0.2033083843905718,0.2615949367463937,Native American/Alaska Native,Asian/Pacific Islander,1.7304720861865799,1.4148804886487263,2.100777763254888,0.1879550208961343,0.13108958541124072,0.24778094676086165,Native American/Alaska Native,Black,1.3967830796537608,0.9190449832385221,1.9224091180988083
Victim Race,graphsage_fairloss_a10_mb,named_n>=5000,2,Black | White,0.07632540249654818,0.07235246013697484,0.0808212554209304,0.06134521998256004,0.0567188368310375,0.06598431497445341,White,Black,0.80373267583272,0.7451818525744021,0.8649777547314761,0.028478551048589096,0.02349903449591855,0.033595752695019125,White,Black,0.37312022101523856,0.3042910583212936,0.4435658637837386,0.05521365211913554,0.04722093555586366,0.06381536483050544,White,Black,0.7233981127270515,0.6157606487968991,0.8408362805705958
Victim Race,graphsage_fairloss_a25_mb,named_all,4,Black | White | Asian/Pacific Islander | Native American/Alaska Native,0.1345627847544697,0.11359162023778609,0.15414211582837106,0.22845434838236212,0.19890727973233302,0.2575687453831781,Native American/Alaska Native,Asian/Pacific Islander,1.6977528281627932,1.4367769831090178,2.035844137745798,0.22113633398564903,0.18891763911112577,0.25299560290228595,Native American/Alaska Native,Asian/Pacific Islander,1.643369185537784,1.33628684359033,2.041719754558132,0.13160211267605632,0.07575238190262147,0.19494108272738295,Native American/Alaska Native,Asian/Pacific Islander,0.9779978388243408,0.5692833129228039,1.5208504648879908
Victim Race,graphsage_fairloss_a25_mb,named_n>=5000,2,Black | White,0.07632540249654818,0.0722304151871517,0.08074991931643266,0.04051304564588998,0.03624974451451228,0.045060007362867006,White,Black,0.5307937373500544,0.4725280496654702,0.5875971266887807,0.0076005072698959175,0.002828926400877016,0.012379424910525183,White,Black,0.09958031037228596,0.03649284047407226,0.16408547609791124,0.034442753245452096,0.026516815806361397,0.04272373350855348,White,Black,0.45126199297815395,0.34465169038106297,0.5720834231939008
Victim Race,graphsage_fairloss_a50_mb,named_all,4,Black | White | Asian/Pacific Islander | Native American/Alaska Native,0.1345627847544697,0.11302922731189019,0.15591490792233684,0.24473235710181873,0.2170053180960106,0.2741430937172598,Native American/Alaska Native,Asian/Pacific Islander,1.8187224465395109,1.5464349594673457,2.18952027392443,0.23166514459665144,0.203595102512649,0.26243836345510124,Native American/Alaska Native,Asian/Pacific Islander,1.721613780655326,1.413776931477024,2.127994489951852,0.17196931589537218,0.11042229278765962,0.23607426819971541,Native American/Alaska Native,Asian/Pacific Islander,1.2779857091182856,0.8073746414548383,1.8433571412249685
Victim Race,graphsage_fairloss_a50_mb,named_n>=5000,2,Black | White,0.07632540249654818,0.07216765681112047,0.08054087283114082,0.036139679812501324,0.03166314788506705,0.0407933423443928,White,Black,0.47349478195199485,0.4205740242986567,0.5295247616299424,0.002635781771448853,0.00013763539124504178,0.007791365085851297,White,Black,0.03453348014205436,0.0017768949732236512,0.10148617087925123,0.03274251677431561,0.025016052212628842,0.04132741487366295,White,Black,0.42898583830981296,0.3241631966115396,0.5385550622111434
Victim Race,graphsage_fairloss_a100_mb,named_all,4,Black | White | Asian/Pacific Islander | Native American/Alaska Native,0.1345627847544697,0.11299476643349893,0.15440563362416154,0.2325683289639489,0.2045544978104798,0.259777384694119,Native American/Alaska Native,Asian/Pacific Islander,1.7283257728970551,1.4475896143251015,2.0934427784985434,0.22421656881930851,0.19210924218164424,0.25529796773440183,Native American/Alaska Native,Asian/Pacific Islander,1.6662598743659014,1.3369165360178272,2.083790101147861,0.13872296277665996,0.07720561373199887,0.197422302063188,Native American/Alaska Native,Asian/Pacific Islander,1.0309162598691841,0.5630268504695366,1.549986692388378
Victim Race,graphsage_fairloss_a100_mb,named_n>=5000,2,Black | White,0.07632540249654818,0.07212581828982992,0.08049138099653856,0.025735415110785143,0.021104505621867883,0.030362040568514572,White,Black,0.33718020827926887,0.2794063196555997,0.39686258591641405,0.006839257328912329,0.001364202155825628,0.011746675521646741,Black,White,0.08960656747564004,0.01695969191699587,0.1566144168705496,0.019934173265237887,0.012024393391268418,0.02807130380334801,White,Black,0.26117350990896393,0.15689671756581638,0.3669227630453687
Victim Race,xgboost,named_all,4,Black | White | Asian/Pacific Islander | Native American/Alaska Native,0.1345627847544697,0.11438901659834697,0.15469352756376664,0.33454096836321023,0.31342037920353877,0.3546192894130062,Native American/Alaska Native,Black,2.4861329153794727,2.1660713756365655,2.9120645328841483,0.275917605045379,0.25541166588936914,0.2960409920637003,Native American/Alaska Native,Black,2.050474843760351,1.7496925991047196,2.442028331563357,0.340885837685724,0.2824948373356994,0.39733751477457513,Native American/Alaska Native,Black,2.533284654503265,2.0246608884165807,3.1362058629886107
Victim Race,xgboost,named_n>=5000,2,Black | White,0.07632540249654818,0.07213033562967372,0.0804716812937814,0.19415229741085382,0.1895515152694818,0.19884208925815,White,Black,2.5437441672139807,2.4146076783550927,2.680131018088371,0.16337208084668153,0.15861756434506744,0.1687824080367912,White,Black,2.1404679897242604,2.0121897240605646,2.278720341255027,0.18244879834168387,0.1739928766437582,0.1906885697384765,White,Black,2.3904072874025806,2.2310075072432154,2.563501252998771
