attribute,model,group_set,n_groups,groups,stratum,n_strata,n_strata_used,min_stratum_n,n_standardized,base_rate_gap,base_rate_gap_lo,base_rate_gap_hi,selection_rate_gap,selection_rate_gap_lo,selection_rate_gap_hi,selection_rate_max_group,selection_rate_min_group,selection_rate_amplification,selection_rate_amplification_lo,selection_rate_amplification_hi,tpr_gap,tpr_gap_lo,tpr_gap_hi,tpr_max_group,tpr_min_group,tpr_amplification,tpr_amplification_lo,tpr_amplification_hi,fpr_gap,fpr_gap_lo,fpr_gap_hi,fpr_max_group,fpr_min_group,fpr_amplification,fpr_amplification_lo,fpr_amplification_hi
Victim Race,graphsage_geo_blind_mb,named_n>=5000,2,Black | White,State,51,39,100,182377,0.06608831689364392,0.06154947144103367,0.0702132598509109,0.1029455690793667,0.09844903663124231,0.10720950824332849,White,Black,1.5576969412768862,1.4573813359269305,1.6743529718391919,0.08725125351451068,0.0820398213363218,0.09205085169544781,White,Black,1.32022205460194,1.2129218023513109,1.4381952898315442,0.09078818951497997,0.08276209795931709,0.09978172222933832,White,Black,1.3737403792728693,1.2253450711109395,1.5411640043491537
Victim Race,graphsage_fairloss_a0_mb,named_n>=5000,2,Black | White,State,51,39,100,182377,0.06608831689364392,0.06153489502108437,0.07093036138146774,0.10871015872282308,0.10454025272030751,0.11274570580926917,White,Black,1.6449224890652094,1.5323211417022506,1.7647632795645751,0.09314877129678834,0.08821679466401458,0.09811273009267688,White,Black,1.4094589736139425,1.2882769476010527,1.5358814341207208,0.0977183951206641,0.08930277321236742,0.10582926652237297,White,Black,1.478603173960725,1.321680470545848,1.651451839144992
Victim Race,graphsage_fairloss_a10_mb,named_n>=5000,2,Black | White,State,51,39,100,182377,0.06608831689364392,0.06136843921387327,0.07066603893356757,0.07205767432285137,0.06803139261907125,0.07621372609787631,White,Black,1.090323943925126,1.010356847124713,1.1823176962279796,0.05937149468999858,0.05452038306519907,0.06407482290023057,White,Black,0.898365966643473,0.8025823014147123,1.0034345405002034,0.052327484285440096,0.04386931671600074,0.06118534101473514,White,Black,0.7917811611037219,0.6554078243745196,0.9385032357117566
Victim Race,graphsage_fairloss_a25_mb,named_n>=5000,2,Black | White,State,51,39,100,182377,0.06608831689364392,0.06184150296045361,0.07058172968769703,0.05977614164090794,0.05557888420116012,0.06383078123922065,White,Black,0.9044887878912975,0.8308285063320034,0.9844841558781134,0.04544306854683089,0.040368746479822644,0.05038963700463356,White,Black,0.6876112251422974,0.6035916029674395,0.7771356743908401,0.04223413972663226,0.034065103875039776,0.05135916506416001,White,Black,0.6390560648503086,0.5091586200946393,0.780935101270735
Victim Race,graphsage_fairloss_a50_mb,named_n>=5000,2,Black | White,State,51,39,100,182377,0.06608831689364392,0.061868702045722083,0.07064375737186375,0.060906495484226886,0.056784210975843526,0.06509652680554216,White,Black,0.9215924742378271,0.8460374515173577,0.997359446643779,0.04570822381200934,0.04062022564362158,0.05073879225655366,White,Black,0.6916233603825573,0.6063642065504721,0.7756806889548292,0.04631859823564488,0.03813683615171707,0.054559076495829605,White,Black,0.700859099047499,0.5752021907900928,0.8367849376043276
Victim Race,graphsage_fairloss_a100_mb,named_n>=5000,2,Black | White,State,51,39,100,182377,0.06608831689364392,0.0616367307849031,0.07045395802172832,0.05700514089925657,0.05307325242682289,0.06093947004580254,White,Black,0.862560034491347,0.7924871855977605,0.9373995376925998,0.043619607814396555,0.038699589883023536,0.04831747422609763,White,Black,0.6600199530666471,0.5746948182173747,0.7494008556504513,0.03896305428984059,0.030038270293614305,0.046755448882300835,White,Black,0.5895603961672065,0.44942862532087263,0.7141263059375742
Victim Sex,graphsage_geo_blind_mb,named_all,2,Male | Female,State,51,44,100,190039,0.0710166162800897,0.06672014726776246,0.07602970167596472,0.07137255524890462,0.0666184148065447,0.07618405580308454,Female,Male,1.0050120519317773,0.9247213337931359,1.0899679209008262,0.058175899601838,0.05289560647758697,0.06353550637251454,Female,Male,0.8191871515307363,0.727372696450314,0.9148103855201931,0.04067401735494103,0.03030754665188952,0.050892961792747216,Female,Male,0.5727394444494878,0.42253039005759274,0.727313240338609
Victim Sex,graphsage_geo_blind_mb,named_n>=5000,2,Male | Female,State,51,44,100,190039,0.0710166162800897,0.06672014726776246,0.07602970167596472,0.07137255524890462,0.0666184148065447,0.07618405580308454,Female,Male,1.0050120519317773,0.9247213337931359,1.0899679209008262,0.058175899601838,0.05289560647758697,0.06353550637251454,Female,Male,0.8191871515307363,0.727372696450314,0.9148103855201931,0.04067401735494103,0.03030754665188952,0.050892961792747216,Female,Male,0.5727394444494878,0.42253039005759274,0.727313240338609
Victim Sex,graphsage_fairloss_a0_mb,named_all,2,Male | Female,State,51,44,100,190039,0.0710166162800897,0.06651141467832963,0.07568907848951863,0.0771853139186609,0.07234664103466269,0.08202754066668042,Female,Male,1.086862736662105,1.0060379516667683,1.1741706244472365,0.06318081109262808,0.05779908158980434,0.06814316429982185,Female,Male,0.8896623692044522,0.7949513676211225,0.985634166119373,0.050190279564396145,0.03937824128018571,0.06024702733079685,Female,Male,0.7067399461338113,0.5521489243079181,0.8503207460778504
Victim Sex,graphsage_fairloss_a0_mb,named_n>=5000,2,Male | Female,State,51,44,100,190039,0.0710166162800897,0.06651141467832963,0.07568907848951863,0.0771853139186609,0.07234664103466269,0.08202754066668042,Female,Male,1.086862736662105,1.0060379516667683,1.1741706244472365,0.06318081109262808,0.05779908158980434,0.06814316429982185,Female,Male,0.8896623692044522,0.7949513676211225,0.985634166119373,0.050190279564396145,0.03937824128018571,0.06024702733079685,Female,Male,0.7067399461338113,0.5521489243079181,0.8503207460778504
Victim Sex,graphsage_fairloss_a10_mb,named_all,2,Male | Female,State,51,44,100,190039,0.0710166162800897,0.06643265230113461,0.07547136235624559,0.050107125051621626,0.0454304686405357,0.0545683028381756,Female,Male,0.7055690298450578,0.6371261647806582,0.7763248698004226,0.04006315457557896,0.03452802862057843,0.04542109648693962,Female,Male,0.5641377564029492,0.4817661875331889,0.6539016553199646,0.012911872140825398,0.0034731332804814274,0.023134334189451294,Female,Male,0.18181480359330193,0.04819991860358264,0.32629714909130153
Victim Sex,graphsage_fairloss_a10_mb,named_n>=5000,2,Male | Female,State,51,44,100,190039,0.0710166162800897,0.06643265230113461,0.07547136235624559,0.050107125051621626,0.0454304686405357,0.0545683028381756,Female,Male,0.7055690298450578,0.6371261647806582,0.7763248698004226,0.04006315457557896,0.03452802862057843,0.04542109648693962,Female,Male,0.5641377564029492,0.4817661875331889,0.6539016553199646,0.012911872140825398,0.0034731332804814274,0.023134334189451294,Female,Male,0.18181480359330193,0.04819991860358264,0.32629714909130153
Victim Sex,graphsage_fairloss_a25_mb,named_all,2,Male | Female,State,51,44,100,190039,0.0710166162800897,0.06629611880941708,0.07569090303206956,0.04438317447122275,0.03965544985826899,0.049183806755198324,Female,Male,0.6249688706115679,0.55866786722131,0.6984688930950379,0.03418303340323481,0.028829295604747014,0.039567570200094083,Female,Male,0.48133852602068283,0.399445336198406,0.5638887920491182,0.007679807781695802,0.0005641437777989853,0.017508262711349462,Female,Male,0.10814099831800802,0.007568804152598968,0.2444930069326109
