attribute,model,group_set,n_groups,groups,stratum,n_strata,n_strata_used,min_stratum_n,n_standardized,base_rate_gap,base_rate_gap_lo,base_rate_gap_hi,selection_rate_gap,selection_rate_gap_lo,selection_rate_gap_hi,selection_rate_max_group,selection_rate_min_group,selection_rate_amplification,selection_rate_amplification_lo,selection_rate_amplification_hi,tpr_gap,tpr_gap_lo,tpr_gap_hi,tpr_max_group,tpr_min_group,tpr_amplification,tpr_amplification_lo,tpr_amplification_hi,fpr_gap,fpr_gap_lo,fpr_gap_hi,fpr_max_group,fpr_min_group,fpr_amplification,fpr_amplification_lo,fpr_amplification_hi
Victim Race,graphsage_geo_blind_mb,named_all,4,Black | White | Asian/Pacific Islander | Native American/Alaska Native,State|City,2814,3,20,14732,0.11356719848929153,0.03170308172721582,0.27562864047955105,0.06724711544121104,0.02219132232987184,0.15379230086052406,Asian/Pacific Islander,Native American/Alaska Native,0.5921350208137071,0.1480673141655,2.9025698267624245,0.07516372671724952,0.022334660939411378,0.20943119658416892,Asian/Pacific Islander,Native American/Alaska Native,0.6618436284164997,0.1622817404291106,3.6902925044274606,0.09190242893511405,0.04913300519408341,0.19131650401702552,Asian/Pacific Islander,Native American/Alaska Native,0.8092339175187077,0.27829335655527476,3.8463339323193093
Victim Race,graphsage_geo_blind_mb,named_n>=5000,2,Black | White,State|City,2814,314,20,149428,0.02561874222171079,0.020200256258353262,0.031149772872689063,0.016948444562562726,0.01181072820761329,0.021745969266172505,White,Black,0.6615642725894499,0.4522982109653615,0.8881522905602006,0.004789950870613513,0.0002575878765568973,0.010734565738029745,White,Black,0.1869705713559284,0.011125018527062889,0.439475942074551,0.025128349253706828,0.015998551075828177,0.03518002970100701,White,Black,0.9808580388623305,0.5970902869094908,1.4797528398669806
Victim Race,graphsage_geo_blind_mb,named_n>=5000,2,Black | White,State|City,2814,243,30,143595,0.02722906256474955,0.021203803951581116,0.03257985608895726,0.017316476923529223,0.012642552752065286,0.02240573680370098,White,Black,0.6359556772236054,0.45009636793232505,0.8756249869565608,0.005014999157481936,0.0004187099116076759,0.010979395173913095,White,Black,0.1841781789423151,0.015077658422272594,0.42676045949812635,0.022499831270569592,0.013816700299133778,0.032178131213723656,White,Black,0.8263167788852793,0.4790587316941654,1.290431013229434
Victim Race,graphsage_geo_blind_mb,named_n>=5000,2,Black | White,State|City,2814,164,50,134799,0.028213794563533456,0.022404634075226543,0.03373074772057672,0.018456496966935743,0.01322044217305999,0.023425752647669888,White,Black,0.6541657105134985,0.46709606059217745,0.8719449138330397,0.005836921081830315,0.0005403375488885531,0.011993807841895847,White,Black,0.2068818169313028,0.018353892039098697,0.4426521393259161,0.023077788932376386,0.013205123160434082,0.03213625368160296,White,Black,0.8179611884678781,0.44881603991160046,1.219216667476997
Victim Race,graphsage_fairloss_a0_mb,named_all,4,Black | White | Asian/Pacific Islander | Native American/Alaska Native,State|City,2814,3,20,14732,0.11356719848929153,0.03236881032447539,0.28195525648117187,0.05764332098510641,0.01863245113518636,0.14502666320943847,Asian/Pacific Islander,Native American/Alaska Native,0.5075701589182171,0.12017276362076752,2.6358124988828715,0.0586803244399855,0.018883277163984632,0.19606386846032192,Asian/Pacific Islander,Native American/Alaska Native,0.5167013470488891,0.1063087684034971,3.2247424096403416,0.09379135007324171,0.06438691625166357,0.193633841478012,Asian/Pacific Islander,Native American/Alaska Native,0.8258665470389804,0.319232183821459,3.978301964971822
Victim Race,graphsage_fairloss_a0_mb,named_n>=5000,2,Black | White,State|City,2814,314,20,149428,0.02561874222171079,0.02028650516304207,0.03096060760095734,0.020807699270226965,0.015998856700053837,0.02562182919712618,White,Black,0.8122061219927234,0.6264833184916762,1.1016862241763392,0.007916481322982505,0.0021024809649192204,0.013838542574234369,White,Black,0.3090113189192257,0.0834893455229539,0.5676603265229625,0.03029679150076514,0.02233098387836553,0.03953545799704534,White,Black,1.1826026132965226,0.8378920731806151,1.7575874508245564
Victim Race,graphsage_fairloss_a0_mb,named_n>=5000,2,Black | White,State|City,2814,243,30,143595,0.02722906256474955,0.02180036774144608,0.032741668250824155,0.021332403223372154,0.016051712307383212,0.026261992520317974,White,Black,0.7834424403206908,0.5786451474237456,1.01369301409812,0.008402972176459689,0.0023629504045858617,0.014774376396082886,White,Black,0.3086030654370777,0.08280317024485011,0.5429683951223802,0.02778576638448732,0.018699149125126477,0.03754516683512077,White,Black,1.0204452069700876,0.6676809741279898,1.464056510064271
Victim Race,graphsage_fairloss_a0_mb,named_n>=5000,2,Black | White,State|City,2814,164,50,134799,0.028213794563533456,0.022596539959505,0.034018326281025496,0.022334600086792,0.01712953813333806,0.027246333111648723,White,Black,0.7916198594449129,0.5885449046197803,1.0301109943318891,0.00890454984974165,0.002449684269461672,0.015488100713981972,White,Black,0.31560979256759913,0.08104711809367136,0.5871781531291201,0.028499367302124656,0.019472356396291888,0.03776763154766227,White,Black,1.0101217416164328,0.6656830686190538,1.4828527712221813
Victim Race,graphsage_fairloss_a10_mb,named_all,4,Black | White | Asian/Pacific Islander | Native American/Alaska Native,State|City,2814,3,20,14732,0.11356719848929153,0.030791741450855344,0.278024516263677,0.05508786072421498,0.01847011174032851,0.15502982325130873,Asian/Pacific Islander,Native American/Alaska Native,0.4850684128605085,0.10721438608930003,2.282417041461595,0.04294458973992299,0.02136233012356034,0.2837286748863878,Native American/Alaska Native,Black,0.3781425474184988,0.1346603124451634,3.8348189434291355,0.1028649594808648,0.043873714651963096,0.21646246075427403,Asian/Pacific Islander,Native American/Alaska Native,0.9057629390282453,0.24247826270455983,3.8847850775959945
Victim Race,graphsage_fairloss_a10_mb,named_n>=5000,2,Black | White,State|City,2814,314,20,149428,0.02561874222171079,0.020115338797453468,0.031149709081317953,0.0005485985129135562,7.901580888510785e-05,0.005544929473733361,Black,White,0.021413951870308544,0.0030855696639858266,0.2269309368825606,0.010536144402565784,0.004611559988662861,0.016375157370520196,Black,White,0.41126704470435915,0.18003899448553504,0.6719744972677124,0.001279193873839013,0.00016241226836690852,0.011530032841042946,White,Black,0.049931954612313124,0.006720445400766388,0.46946474576887254
