attribute,model,group_set,n_groups,groups,stratum,n_strata,n_strata_used,min_stratum_n,n_standardized,base_rate_gap,base_rate_gap_lo,base_rate_gap_hi,selection_rate_gap,selection_rate_gap_lo,selection_rate_gap_hi,selection_rate_max_group,selection_rate_min_group,selection_rate_amplification,selection_rate_amplification_lo,selection_rate_amplification_hi,tpr_gap,tpr_gap_lo,tpr_gap_hi,tpr_max_group,tpr_min_group,tpr_amplification,tpr_amplification_lo,tpr_amplification_hi,fpr_gap,fpr_gap_lo,fpr_gap_hi,fpr_max_group,fpr_min_group,fpr_amplification,fpr_amplification_lo,fpr_amplification_hi
Victim Race,graphsage_geo_blind_mb,named_all,4,Black | White | Asian/Pacific Islander | Native American/Alaska Native,State|City,2813,3,20,14732,0.11356719848929153,0.03170308172721582,0.27562864047955105,0.06724711544121104,0.02219132232987184,0.15379230086052406,Asian/Pacific Islander,Native American/Alaska Native,0.5921350208137071,0.1480673141655,2.9025698267624245,0.07516372671724952,0.022334660939411378,0.20943119658416892,Asian/Pacific Islander,Native American/Alaska Native,0.6618436284164997,0.1622817404291106,3.6902925044274606,0.09190242893511405,0.04913300519408341,0.19131650401702552,Asian/Pacific Islander,Native American/Alaska Native,0.8092339175187077,0.27829335655527476,3.8463339323193093
Victim Race,graphsage_geo_blind_mb,named_n>=5000,2,Black | White,State|City,2813,313,20,149428,0.025684920248750465,0.020551973526160606,0.03151472195126187,0.017224051497552795,0.012099787475700022,0.022206086403509826,White,Black,0.6705900322346036,0.47297005537607223,0.9165679622621175,0.0049303554138167005,0.00038554177245537233,0.010740243105395309,White,Black,0.19195525491485826,0.01441237473565157,0.43510667456775776,0.025542634187512958,0.017253507462767242,0.03555514624601677,White,Black,0.9944603269210295,0.6375636351688361,1.4947446334102665
Victim Race,graphsage_geo_blind_mb,named_n>=5000,2,Black | White,State|City,2813,242,30,143595,0.027297928822101802,0.021793997195925792,0.03276029509500333,0.017603279340617006,0.012567345371865515,0.022551440342411962,White,Black,0.6448576906818106,0.4651918869381854,0.863129790015029,0.005161107100528306,0.0003378928738062559,0.011017737631059139,White,Black,0.18906588606640404,0.013028733329834393,0.4271512862825033,0.022930172952618122,0.014235860412951539,0.033107977111390484,White,Black,0.8399968034956805,0.507924932754288,1.293688599444995
Victim Race,graphsage_geo_blind_mb,named_n>=5000,2,Black | White,State|City,2813,164,50,134953,0.028476095600388107,0.02286531163500022,0.034106027208789316,0.01884020329891034,0.013710889408735674,0.024017714061689687,White,Black,0.6616146947706399,0.47155771603421137,0.8757375507672385,0.0061173943947938625,0.0005985473920143925,0.012233673911202753,White,Black,0.21482560252082056,0.02118237317161139,0.4519932263043183,0.02347225064074171,0.012949396296849122,0.03263014985674582,White,Black,0.8242791065928926,0.4436584714955345,1.2396619882403204
Victim Race,graphsage_fairloss_a0_mb,named_all,4,Black | White | Asian/Pacific Islander | Native American/Alaska Native,State|City,2813,3,20,14732,0.11356719848929153,0.03236881032447539,0.28195525648117187,0.05764332098510641,0.01863245113518636,0.14502666320943847,Asian/Pacific Islander,Native American/Alaska Native,0.5075701589182171,0.12017276362076752,2.6358124988828715,0.0586803244399855,0.018883277163984632,0.19606386846032192,Asian/Pacific Islander,Native American/Alaska Native,0.5167013470488891,0.1063087684034971,3.2247424096403416,0.09379135007324171,0.06438691625166357,0.193633841478012,Asian/Pacific Islander,Native American/Alaska Native,0.8258665470389804,0.319232183821459,3.978301964971822
Victim Race,graphsage_fairloss_a0_mb,named_n>=5000,2,Black | White,State|City,2813,313,20,149428,0.025684920248750465,0.019986449154092648,0.03127203444992175,0.021065103157800635,0.016362257537830292,0.02573125128500149,White,Black,0.8201350424214544,0.6138979266541015,1.0796541978280862,0.008037605037386264,0.0022404606511043533,0.01390779181243031,White,Black,0.3129308932846417,0.08821317579550167,0.588318246100617,0.03070346617525488,0.021329340151999623,0.040587484293659014,White,Black,1.195388807047145,0.821975962247245,1.734560387231152
Victim Race,graphsage_fairloss_a0_mb,named_n>=5000,2,Black | White,State|City,2813,242,30,143595,0.027297928822101802,0.021552784793618596,0.03326869536698328,0.021600263163567557,0.0165160307826501,0.026434195845226997,White,Black,0.7912784630780807,0.5892486697869108,1.0450827650340413,0.008529016080467078,0.002120884579678453,0.014463975546647573,White,Black,0.31244187557414793,0.08095309953206423,0.5574252240401496,0.02820820703708793,0.019310030870425737,0.03767975404054355,White,Black,1.0333460542343096,0.6717957853727737,1.4847162863874135
Victim Race,graphsage_fairloss_a0_mb,named_n>=5000,2,Black | White,State|City,2813,164,50,134953,0.028476095600388107,0.02272744030018247,0.03402719689640668,0.02271224393743776,0.017687399779235256,0.02783765946210147,White,Black,0.7975898190596118,0.6025065003193755,1.0493533535695136,0.009182118654805893,0.0028613463353821867,0.015868040098327586,White,Black,0.3224500571869392,0.1041365869731745,0.5848954454773444,0.02887924248572077,0.019889297242113517,0.03809947854384138,White,Black,1.0141573792625969,0.670062952385331,1.4746654995598065
Victim Race,graphsage_fairloss_a10_mb,named_all,4,Black | White | Asian/Pacific Islander | Native American/Alaska Native,State|City,2813,3,20,14732,0.11356719848929153,0.030791741450855344,0.278024516263677,0.05508786072421498,0.01847011174032851,0.15502982325130873,Asian/Pacific Islander,Native American/Alaska Native,0.4850684128605085,0.10721438608930003,2.282417041461595,0.04294458973992299,0.02136233012356034,0.2837286748863878,Native American/Alaska Native,Black,0.3781425474184988,0.1346603124451634,3.8348189434291355,0.1028649594808648,0.043873714651963096,0.21646246075427403,Asian/Pacific Islander,Native American/Alaska Native,0.9057629390282453,0.24247826270455983,3.8847850775959945
Victim Race,graphsage_fairloss_a10_mb,named_n>=5000,2,Black | White,State|City,2813,313,20,149428,0.025684920248750465,0.02005639840774281,0.03126560117998598,0.0003505516092676686,7.965036247784274e-05,0.005240873556309707,Black,White,0.013648148636347135,0.0031921354512558114,0.21677109493868105,0.010452418785156459,0.00465113212534182,0.016328515660496253,Black,White,0.40694768307349344,0.18307343012159621,0.6816819521054965,0.0016209497253270033,0.00015902988377103355,0.012108326785684215,White,Black,0.06310900363437415,0.006160533801865385,0.48990072279642477
Victim Race,graphsage_fairloss_a10_mb,named_n>=5000,2,Black | White,State|City,2813,242,30,143595,0.027297928822101802,0.02149506833919318,0.03272376740961325,8.733451630327238e-06,6.920505172322844e-05,0.005380057844992969,Black,White,0.00031993092542816613,0.0029486371627522054,0.210303099873948,0.010215337931247959,0.004549106910073456,0.016082306872297867,Black,White,0.3742165934207103,0.16806779214258372,0.649812985689388,0.0004374587154055698,8.62922601868127e-05,0.011459165844588625,Black,White,0.01602534456941586,0.0028860854483072984,0.4279611967231221
Victim Race,graphsage_fairloss_a10_mb,named_n>=5000,2,Black | White,State|City,2813,164,50,134953,0.028476095600388107,0.02271456953303922,0.03428927451002618,0.0015064723953183146,8.15904727983735e-05,0.0066007095531803815,White,Black,0.05290305301889008,0.002996480456141957,0.2271461314528156,0.009278999746894057,0.0027356945999752,0.01587647927852647,Black,White,0.32585224734136625,0.09529992235472924,0.5901355838052713,0.0013223391266109497,0.00016480665879727854,0.010660604167734037,White,Black,0.046436813008624934,0.005626708413309699,0.3982089493297042
