attribute,model,group_set,n_groups,groups,stratum,n_strata,n_strata_used,min_stratum_n,n_standardized,base_rate_gap,base_rate_gap_lo,base_rate_gap_hi,selection_rate_gap,selection_rate_gap_lo,selection_rate_gap_hi,selection_rate_max_group,selection_rate_min_group,selection_rate_amplification,selection_rate_amplification_lo,selection_rate_amplification_hi,tpr_gap,tpr_gap_lo,tpr_gap_hi,tpr_max_group,tpr_min_group,tpr_amplification,tpr_amplification_lo,tpr_amplification_hi,fpr_gap,fpr_gap_lo,fpr_gap_hi,fpr_max_group,fpr_min_group,fpr_amplification,fpr_amplification_lo,fpr_amplification_hi
Victim Race,graphsage_geo_blind_mb,named_n>=5000,2,Black | White,State,51,39,100,182377,0.06608831689364392,0.06154947144103367,0.0702132598509109,0.1029455690793667,0.09844903663124231,0.10720950824332849,White,Black,1.5576969412768862,1.4573813359269305,1.6743529718391919,0.08725125351451068,0.0820398213363218,0.09205085169544781,White,Black,1.32022205460194,1.2129218023513109,1.4381952898315442,0.09078818951497997,0.08276209795931709,0.09978172222933832,White,Black,1.3737403792728693,1.2253450711109395,1.5411640043491537
Victim Race,graphsage_fairloss_a0_mb,named_n>=5000,2,Black | White,State,51,39,100,182377,0.06608831689364392,0.06153489502108437,0.07093036138146774,0.10871015872282308,0.10454025272030751,0.11274570580926917,White,Black,1.6449224890652094,1.5323211417022506,1.7647632795645751,0.09314877129678834,0.08821679466401458,0.09811273009267688,White,Black,1.4094589736139425,1.2882769476010527,1.5358814341207208,0.0977183951206641,0.08930277321236742,0.10582926652237297,White,Black,1.478603173960725,1.321680470545848,1.651451839144992
Victim Race,graphsage_fairloss_a10_mb,named_n>=5000,2,Black | White,State,51,39,100,182377,0.06608831689364392,0.06136843921387327,0.07066603893356757,0.07205767432285137,0.06803139261907125,0.07621372609787631,White,Black,1.090323943925126,1.010356847124713,1.1823176962279796,0.05937149468999858,0.05452038306519907,0.06407482290023057,White,Black,0.898365966643473,0.8025823014147123,1.0034345405002034,0.052327484285440096,0.04386931671600074,0.06118534101473514,White,Black,0.7917811611037219,0.6554078243745196,0.9385032357117566
Victim Race,graphsage_fairloss_a25_mb,named_n>=5000,2,Black | White,State,51,39,100,182377,0.06608831689364392,0.06184150296045361,0.07058172968769703,0.05977614164090794,0.05557888420116012,0.06383078123922065,White,Black,0.9044887878912975,0.8308285063320034,0.9844841558781134,0.04544306854683089,0.040368746479822644,0.05038963700463356,White,Black,0.6876112251422974,0.6035916029674395,0.7771356743908401,0.04223413972663226,0.034065103875039776,0.05135916506416001,White,Black,0.6390560648503086,0.5091586200946393,0.780935101270735
Victim Race,graphsage_fairloss_a50_mb,named_n>=5000,2,Black | White,State,51,39,100,182377,0.06608831689364392,0.061868702045722083,0.07064375737186375,0.060906495484226886,0.056784210975843526,0.06509652680554216,White,Black,0.9215924742378271,0.8460374515173577,0.997359446643779,0.04570822381200934,0.04062022564362158,0.05073879225655366,White,Black,0.6916233603825573,0.6063642065504721,0.7756806889548292,0.04631859823564488,0.03813683615171707,0.054559076495829605,White,Black,0.700859099047499,0.5752021907900928,0.8367849376043276
Victim Race,graphsage_fairloss_a100_mb,named_n>=5000,2,Black | White,State,51,39,100,182377,0.06608831689364392,0.0616367307849031,0.07045395802172832,0.05700514089925657,0.05307325242682289,0.06093947004580254,White,Black,0.862560034491347,0.7924871855977605,0.9373995376925998,0.043619607814396555,0.038699589883023536,0.04831747422609763,White,Black,0.6600199530666471,0.5746948182173747,0.7494008556504513,0.03896305428984059,0.030038270293614305,0.046755448882300835,White,Black,0.5895603961672065,0.44942862532087263,0.7141263059375742
Victim Race,graphsage_fairloss_a5_sstate20_mb,named_n>=5000,2,Black | White,State,51,39,100,182377,0.06608831689364392,0.06207715886265004,0.07070312598949124,0.07535553918970073,0.07082608234569823,0.07964812484155413,White,Black,1.1402248193273037,1.0559763448970247,1.2290084618844779,0.06140648067323928,0.05646061995421483,0.06644913384756507,White,Black,0.9291578838671422,0.8388164023030592,1.0226442932865814,0.05782420416247941,0.049574322056784546,0.06644582139510699,White,Black,0.8749534998074778,0.738356267226263,1.0127000712654801
Victim Race,graphsage_fairloss_a10_sstate20_mb,named_n>=5000,2,Black | White,State,51,39,100,182377,0.06608831689364392,0.061539539562737264,0.0706238526195848,0.052691323315399274,0.04876084026979479,0.05671232128908829,White,Black,0.7972865067844828,0.7273202409553552,0.8709321458858739,0.03971804312214888,0.03492670644962781,0.04458055368885832,White,Black,0.6009843341307545,0.518256976002635,0.6885220751851315,0.03241894073808782,0.02450347521230492,0.04123175832782404,White,Black,0.49053966361799917,0.3619267998088192,0.6264089342199451
Victim Race,graphsage_fairloss_a25_sstate20_mb,named_n>=5000,2,Black | White,State,51,39,100,182377,0.06608831689364392,0.06173217250918125,0.07048372640613058,0.039982293953576886,0.036141768616732135,0.04397381135219929,White,Black,0.6049827841420214,0.5395631687799514,0.6723577093817018,0.0254044747007941,0.0205858809387468,0.030317477943417874,White,Black,0.3844019018017599,0.30813728480063524,0.46715113581377005,0.0247422821133933,0.01683145224044932,0.03302197795945343,White,Black,0.3743820886407368,0.25166370374752645,0.49905927551282153
Victim Race,graphsage_fairloss_a50_sstate20_mb,named_n>=5000,2,Black | White,State,51,39,100,182377,0.06608831689364392,0.06147100233520087,0.07089710359870097,0.026502295864141434,0.022738000086718096,0.03060522071264779,White,Black,0.40101332746590657,0.34469534887502795,0.46483514724346164,0.01226423395198617,0.007614464517100269,0.017048759014429326,White,Black,0.18557340432383881,0.11529669758617697,0.2594056278499466,0.011977297135584375,0.0037325450928779812,0.020477001993326135,White,Black,0.18123168660596195,0.05568921052996812,0.3177002611872864
Victim Race,graphsage_fairloss_a100_sstate20_mb,named_n>=5000,2,Black | White,State,51,39,100,182377,0.06608831689364392,0.061663961864049224,0.07051261883079143,0.010495998186448308,0.006612761226539476,0.014439463630672512,White,Black,0.1588177559936886,0.10090052355141378,0.2159277813092408,0.0021554467044591075,0.00011250434931442121,0.006828634668471984,Black,White,0.032614640616856275,0.001679819610529292,0.10327560143635736,0.0036660304665663834,0.000259484279072253,0.011301093206418512,Black,White,0.055471687567200945,0.00397237230070538,0.17166822022233838
Victim Race,graphsage_fairloss_a5_sstate50_mb,named_n>=5000,2,Black | White,State,51,39,100,182377,0.06608831689364392,0.06161640650025736,0.07033389157713481,0.07697345908788089,0.07305331863312452,0.08110798641147628,White,Black,1.1647059980624783,1.080746627094438,1.2635311442100008,0.06375268715442395,0.058955256323323435,0.06866218005598657,White,Black,0.9646589616894208,0.8710962472482089,1.0739417335671757,0.059345023406943864,0.05108869366649496,0.0673269594772737,White,Black,0.8979654225791216,0.7618218919584117,1.045734926963126
