attribute,model,group,n,base_rate,selection_rate,tpr,fpr,tnr,accuracy,selection_rate_lo,selection_rate_hi,tpr_lo,tpr_hi,fpr_lo,fpr_hi
Victim Race,graphsage_geo_blind_mb,White,95216,0.7402012266845909,0.6855570492354226,0.7644972261240937,0.4606459958766221,0.539354004123378,0.7060052932280289,0.6827421336750126,0.6884987817173583,0.7615387882210094,0.7675444398489083,0.4541681600412905,0.46711914308956043
Victim Race,graphsage_geo_blind_mb,Black,89937,0.6638758241880427,0.547805686202564,0.6645786926156062,0.3171683757856434,0.6828316242143566,0.6707139442053882,0.5445809288724329,0.5510190466659995,0.6607613615505635,0.6681432567664063,0.31232628580243477,0.32233114913107536
Victim Race,graphsage_geo_blind_mb,Asian/Pacific Islander,2940,0.6952380952380952,0.5942176870748299,0.6619373776908023,0.43973214285714285,0.5602678571428571,0.6309523809523809,0.5761904761904761,0.6115646258503401,0.6411229481566065,0.6824460726136556,0.405140780258304,0.47100520542597585
Victim Race,graphsage_geo_blind_mb,Unknown,2035,0.539066339066339,0.38968058968058966,0.5205104831358249,0.23667377398720682,0.7633262260127932,0.6324324324324324,0.36902948402948405,0.41375921375921376,0.49092434790096307,0.5498658588014492,0.20780097688497523,0.265831509993691
Victim Race,graphsage_geo_blind_mb,Native American/Alaska Native,1409,0.7984386089425124,0.8232789212207239,0.8755555555555555,0.6161971830985915,0.38380281690140844,0.7764371894960965,0.8026969481902059,0.8431511710432931,0.8562525109817518,0.8948306999384275,0.5568171411921411,0.6711924939467312
Victim Race,graphsage_geo_mb,White,95216,0.7402012266845909,0.6902306335069737,0.7745427716057265,0.45001414884585844,0.5499858511541416,0.7162031591329189,0.6874671798857336,0.6932030856158629,0.771580731981962,0.777675292041007,0.44357007755410405,0.45645394417557117
Victim Race,graphsage_geo_mb,Black,89937,0.6638758241880427,0.5188743231373072,0.6388028204398144,0.28200463116109825,0.7179953688389018,0.6654213505009062,0.5158469261816605,0.5222325071994841,0.6349710865404153,0.6426730633708369,0.2772830206247682,0.28688455394194995
Victim Race,graphsage_geo_mb,Asian/Pacific Islander,2940,0.6952380952380952,0.6037414965986394,0.6819960861056752,0.4252232142857143,0.5747767857142857,0.6493197278911564,0.5853741496598639,0.6217687074829932,0.6614550207710931,0.7027027027027027,0.394050768362793,0.45608208764018626
Victim Race,graphsage_geo_mb,Unknown,2035,0.539066339066339,0.2727272727272727,0.39380127620783956,0.13113006396588486,0.8688699360341151,0.6127764127764128,0.25307125307125306,0.29287469287469287,0.3650643356395006,0.42248476145232894,0.10897198731501057,0.15353702358547672
Victim Race,graphsage_geo_mb,Native American/Alaska Native,1409,0.7984386089425124,0.8176011355571328,0.8746666666666667,0.5915492957746479,0.4084507042253521,0.7806955287437899,0.7963094393186657,0.8388928317955997,0.8547229434931176,0.8955942494518994,0.5349470734744708,0.6472501317076842
Victim Sex,graphsage_geo_blind_mb,Male,148198,0.6839296076870133,0.5946841387872981,0.7016190297660744,0.3632928417412096,0.6367071582587904,0.681102309072997,0.59222796528968,0.5970866678362731,0.6987825514919672,0.7042632487562177,0.35902700085760675,0.3678050281465425
Victim Sex,graphsage_geo_blind_mb,Female,43051,0.7664862604817542,0.6975447724791526,0.766894963331111,0.46990947975728636,0.5300905202427136,0.7115978722910037,0.6931999256695547,0.7021910060161204,0.7621896095770994,0.77145665643356,0.4601802831975665,0.4799155994411288
Victim Sex,graphsage_geo_blind_mb,Unknown,288,0.3368055555555556,0.2881944444444444,0.5154639175257731,0.17277486910994763,0.8272251308900523,0.7222222222222222,0.2361111111111111,0.34036458333333325,0.4156819062378923,0.6129215542521994,0.12165625813166796,0.22580645161290322
Victim Sex,graphsage_geo_mb,Male,148198,0.6839296076870133,0.5602032416091985,0.6705210296279487,0.32149185542580216,0.6785081445741978,0.6730455201824586,0.557693086276468,0.562633267655434,0.6676916558344764,0.6732252233180254,0.3174128118860112,0.3257023839419028
Victim Sex,graphsage_geo_mb,Female,43051,0.7664862604817542,0.7619567489721493,0.8347778653251712,0.5229284790609768,0.47707152093902316,0.7512485191981603,0.7577983089823698,0.7661628069034401,0.8306193502240994,0.8390802350916489,0.513036343408606,0.5328147589616195
Victim Sex,graphsage_geo_mb,Unknown,288,0.3368055555555556,0.15625,0.32989690721649484,0.06806282722513089,0.9319371727748691,0.7291666666666666,0.11805555555555555,0.2013888888888889,0.24527339237581824,0.4200113636363636,0.034278085991678225,0.10471924083769633
