attribute,model,group,n,base_rate,selection_rate,tpr,fpr,tnr,accuracy,selection_rate_lo,selection_rate_hi,tpr_lo,tpr_hi,fpr_lo,fpr_hi
Victim Race,graphsage_geo_blind_mb,White,95216,0.7402012266845909,0.6855570492354226,0.7644972261240937,0.4606459958766221,0.539354004123378,0.7060052932280289,0.6827421336750126,0.6884987817173583,0.7615387882210094,0.7675444398489083,0.4541681600412905,0.46711914308956043
Victim Race,graphsage_geo_blind_mb,Black,89937,0.6638758241880427,0.547805686202564,0.6645786926156062,0.3171683757856434,0.6828316242143566,0.6707139442053882,0.5445809288724329,0.5510190466659995,0.6607613615505635,0.6681432567664063,0.31232628580243477,0.32233114913107536
Victim Race,graphsage_geo_blind_mb,Asian/Pacific Islander,2940,0.6952380952380952,0.5942176870748299,0.6619373776908023,0.43973214285714285,0.5602678571428571,0.6309523809523809,0.5761904761904761,0.6115646258503401,0.6411229481566065,0.6824460726136556,0.405140780258304,0.47100520542597585
Victim Race,graphsage_geo_blind_mb,Unknown,2035,0.539066339066339,0.38968058968058966,0.5205104831358249,0.23667377398720682,0.7633262260127932,0.6324324324324324,0.36902948402948405,0.41375921375921376,0.49092434790096307,0.5498658588014492,0.20780097688497523,0.265831509993691
Victim Race,graphsage_geo_blind_mb,Native American/Alaska Native,1409,0.7984386089425124,0.8232789212207239,0.8755555555555555,0.6161971830985915,0.38380281690140844,0.7764371894960965,0.8026969481902059,0.8431511710432931,0.8562525109817518,0.8948306999384275,0.5568171411921411,0.6711924939467312
Victim Race,graphsage_fairloss_a100_mb,White,95216,0.7402012266845909,0.5937552512182827,0.6740021850480284,0.3651210736952743,0.6348789263047258,0.6638380104184171,0.5906355024365653,0.5970427764241304,0.6707292833252483,0.6776073974680071,0.35907642499605386,0.3716019180094162
Victim Race,graphsage_fairloss_a100_mb,Black,89937,0.6638758241880427,0.5680198361074975,0.6808414423769408,0.3451869004300364,0.6548130995699636,0.6720926871031945,0.5647945228326495,0.5712109587822587,0.6769471425214023,0.6845608037819418,0.339990913030824,0.35026793007694557
Victim Race,graphsage_fairloss_a100_mb,Asian/Pacific Islander,2940,0.6952380952380952,0.49489795918367346,0.5704500978473581,0.32254464285714285,0.6774553571428571,0.6030612244897959,0.47822278911564625,0.5125850340136054,0.5496015042180855,0.5915563867459445,0.2911065634218289,0.35295045462980146
Victim Race,graphsage_fairloss_a100_mb,Unknown,2035,0.539066339066339,0.3415233415233415,0.4658158614402917,0.19616204690831557,0.8038379530916845,0.6216216216216216,0.3203808353808354,0.3621621621621622,0.43595558558176756,0.4938872977744929,0.16946439951653663,0.2231696832706397
Victim Race,graphsage_fairloss_a100_mb,Native American/Alaska Native,1409,0.7984386089425124,0.7274662881476224,0.7946666666666666,0.4612676056338028,0.5387323943661971,0.7430801987224982,0.7054471256210078,0.752306600425834,0.7700425074921167,0.8176157955382758,0.40439463829009864,0.5221893943253018
Victim Sex,graphsage_geo_blind_mb,Male,148198,0.6839296076870133,0.5946841387872981,0.7016190297660744,0.3632928417412096,0.6367071582587904,0.681102309072997,0.59222796528968,0.5970866678362731,0.6987825514919672,0.7042632487562177,0.35902700085760675,0.3678050281465425
Victim Sex,graphsage_geo_blind_mb,Female,43051,0.7664862604817542,0.6975447724791526,0.766894963331111,0.46990947975728636,0.5300905202427136,0.7115978722910037,0.6931999256695547,0.7021910060161204,0.7621896095770994,0.77145665643356,0.4601802831975665,0.4799155994411288
Victim Sex,graphsage_geo_blind_mb,Unknown,288,0.3368055555555556,0.2881944444444444,0.5154639175257731,0.17277486910994763,0.8272251308900523,0.7222222222222222,0.2361111111111111,0.34036458333333325,0.4156819062378923,0.6129215542521994,0.12165625813166796,0.22580645161290322
Victim Sex,graphsage_fairloss_a100_mb,Male,148198,0.6839296076870133,0.5619104171446309,0.6648381463539765,0.3391900258320702,0.6608099741679299,0.6635649603908285,0.559305456213984,0.5643871712168855,0.6616042530153979,0.667560534765562,0.33497381665918036,0.3432968001851401
Victim Sex,graphsage_fairloss_a100_mb,Female,43051,0.7664862604817542,0.6374300248542426,0.7058003515364567,0.41301104148015516,0.5869889585198448,0.6780562588557757,0.6331095677220041,0.6422858934751806,0.7011062956867301,0.7110056762080961,0.4035877492032445,0.4224939515411364
Victim Sex,graphsage_fairloss_a100_mb,Unknown,288,0.3368055555555556,0.2777777777777778,0.5051546391752577,0.16230366492146597,0.837696335078534,0.7256944444444444,0.22916666666666666,0.3298611111111111,0.40695857558139537,0.6100131578947369,0.1105488184079602,0.2131168344844803
