attribute,model,group,n,base_rate,selection_rate,tpr,fpr,tnr,accuracy,selection_rate_lo,selection_rate_hi,tpr_lo,tpr_hi,fpr_lo,fpr_hi
Victim Race,graphsage_fairloss_a100_mb,White,95216,0.7402012266845909,0.5937552512182827,0.6740021850480284,0.3651210736952743,0.6348789263047258,0.6638380104184171,0.5906355024365653,0.5970427764241304,0.6707292833252483,0.6776073974680071,0.35907642499605386,0.3716019180094162
Victim Race,graphsage_fairloss_a100_mb,Black,89937,0.6638758241880427,0.5680198361074975,0.6808414423769408,0.3451869004300364,0.6548130995699636,0.6720926871031945,0.5647945228326495,0.5712109587822587,0.6769471425214023,0.6845608037819418,0.339990913030824,0.35026793007694557
Victim Race,graphsage_fairloss_a100_mb,Asian/Pacific Islander,2940,0.6952380952380952,0.49489795918367346,0.5704500978473581,0.32254464285714285,0.6774553571428571,0.6030612244897959,0.47822278911564625,0.5125850340136054,0.5496015042180855,0.5915563867459445,0.2911065634218289,0.35295045462980146
Victim Race,graphsage_fairloss_a100_mb,Unknown,2035,0.539066339066339,0.3415233415233415,0.4658158614402917,0.19616204690831557,0.8038379530916845,0.6216216216216216,0.3203808353808354,0.3621621621621622,0.43595558558176756,0.4938872977744929,0.16946439951653663,0.2231696832706397
Victim Race,graphsage_fairloss_a100_mb,Native American/Alaska Native,1409,0.7984386089425124,0.7274662881476224,0.7946666666666666,0.4612676056338028,0.5387323943661971,0.7430801987224982,0.7054471256210078,0.752306600425834,0.7700425074921167,0.8176157955382758,0.40439463829009864,0.5221893943253018
Victim Race,graphsage_fairloss_a5_sstate20_mb,White,95216,0.7402012266845909,0.6722504621072088,0.750705884022191,0.44872054008165907,0.5512794599183409,0.6988951436733322,0.6694242564274913,0.6752964312720551,0.747613496388411,0.7537861636991573,0.4425487942477171,0.4557377438153771
Victim Race,graphsage_fairloss_a5_sstate20_mb,Black,89937,0.6638758241880427,0.5624159133615754,0.6774750029309796,0.3351637446245452,0.6648362553754549,0.6732268143255835,0.5591911560314442,0.565674027374718,0.6736223950161984,0.6812735031785003,0.3297737684372984,0.3401943221678181
Victim Race,graphsage_fairloss_a5_sstate20_mb,Asian/Pacific Islander,2940,0.6952380952380952,0.5897959183673469,0.6570450097847358,0.43638392857142855,0.5636160714285714,0.6285714285714286,0.5714285714285714,0.6078231292517007,0.636356948593339,0.6779420079241136,0.4041051025901777,0.4680406602980053
Victim Race,graphsage_fairloss_a5_sstate20_mb,Unknown,2035,0.539066339066339,0.38673218673218673,0.5113947128532361,0.24093816631130063,0.7590618336886994,0.6255528255528255,0.3650982800982801,0.4098280098280098,0.4827802938808373,0.540551235593135,0.21097849670344457,0.27042015165166366
Victim Race,graphsage_fairloss_a5_sstate20_mb,Native American/Alaska Native,1409,0.7984386089425124,0.8168914123491838,0.8755555555555555,0.5845070422535211,0.4154929577464789,0.7828246983676366,0.795581973030518,0.8374911284599007,0.855612010277999,0.8951053776030777,0.5264880115421766,0.6407695195195194
Victim Race,graphsage_fairloss_a10_sstate20_mb,White,95216,0.7402012266845909,0.6683435557049235,0.7464776742008258,0.445729069814448,0.554270930185552,0.6965425978827088,0.6654446206519913,0.671515291547639,0.7432848847073075,0.7497618274997419,0.43990523209877846,0.4522957643907907
Victim Race,graphsage_fairloss_a10_sstate20_mb,Black,89937,0.6638758241880427,0.5808955157499138,0.6942904517058301,0.35693020178630497,0.643069798213695,0.6770739517662364,0.5776924402637402,0.5840532817416636,0.6904921779493967,0.6978470878525787,0.35182563212158185,0.3623277336864186
Victim Race,graphsage_fairloss_a10_sstate20_mb,Asian/Pacific Islander,2940,0.6952380952380952,0.5775510204081633,0.6418786692759295,0.43080357142857145,0.5691964285714286,0.6197278911564625,0.5595238095238095,0.5959268707482993,0.6209241760240195,0.6627485337669125,0.3993051204541086,0.461130447751539
Victim Race,graphsage_fairloss_a10_sstate20_mb,Unknown,2035,0.539066339066339,0.3769041769041769,0.5031905195989061,0.22921108742004265,0.7707889125799574,0.6265356265356266,0.35625307125307126,0.4,0.4742229858724704,0.532163197680439,0.2027077893309526,0.25894926807464524
Victim Race,graphsage_fairloss_a10_sstate20_mb,Native American/Alaska Native,1409,0.7984386089425124,0.8275372604684174,0.8853333333333333,0.5985915492957746,0.4014084507042254,0.7877927608232789,0.8069552874378992,0.8474095102909865,0.8672084909351768,0.9033981164932754,0.5421405772343103,0.6541726833640392
Victim Race,graphsage_fairloss_a25_sstate20_mb,White,95216,0.7402012266845909,0.6461939169887414,0.7238042537493438,0.4250717548611392,0.5749282451388608,0.685126449336246,0.643241156948412,0.6493454356410687,0.7205932527868252,0.7271994576290054,0.4188332674838947,0.43122136481164663
Victim Race,graphsage_fairloss_a25_sstate20_mb,Black,89937,0.6638758241880427,0.5713443855143044,0.6840069003634415,0.34882566986437313,0.6511743301356269,0.672971079755829,0.5680626438506955,0.5745366200784994,0.6802595233181254,0.6877464313717015,0.3435242827262566,0.35382408056555914
Victim Race,graphsage_fairloss_a25_sstate20_mb,Asian/Pacific Islander,2940,0.6952380952380952,0.5537414965986395,0.6203522504892368,0.4017857142857143,0.5982142857142857,0.6136054421768707,0.5363945578231293,0.5710969387755102,0.5991168145736236,0.6417781202766422,0.3695108061610255,0.4355016538037486
Victim Race,graphsage_fairloss_a25_sstate20_mb,Unknown,2035,0.539066339066339,0.371990171990172,0.4949863263445761,0.2281449893390192,0.7718550106609808,0.6226044226044226,0.35085995085995086,0.3931203931203931,0.46619303978981247,0.5238527698941253,0.20127415893665027,0.2566193932427074
Victim Race,graphsage_fairloss_a25_sstate20_mb,Native American/Alaska Native,1409,0.7984386089425124,0.8183108587650816,0.8746666666666667,0.5950704225352113,0.40492957746478875,0.7799858055358411,0.7970191625266146,0.837473385379702,0.855095146884304,0.8939332850965898,0.5363231560080656,0.6496777658431794
Victim Race,graphsage_fairloss_a50_sstate20_mb,White,95216,0.7402012266845909,0.6263863216266173,0.7033726358205991,0.4070420827101104,0.5929579172898897,0.6746870273903546,0.6234443265837675,0.6295690850277265,0.7000574095679112,0.7068506550342166,0.40110211280413405,0.41345846430438304
Victim Race,graphsage_fairloss_a50_sstate20_mb,Black,89937,0.6638758241880427,0.5636167539499872,0.6749962315976351,0.34363215348991066,0.6563678465100893,0.668734781013376,0.560334178369303,0.5668417892524767,0.6712118347930851,0.6788433074385904,0.33821139326974037,0.3487042702362494
Victim Race,graphsage_fairloss_a50_sstate20_mb,Asian/Pacific Islander,2940,0.6952380952380952,0.5312925170068027,0.6022504892367906,0.36941964285714285,0.6305803571428571,0.6108843537414966,0.5142772108843537,0.5493197278911565,0.5811216867001847,0.6236015089786711,0.33602634205218773,0.4033167899616069
Victim Race,graphsage_fairloss_a50_sstate20_mb,Unknown,2035,0.539066339066339,0.3538083538083538,0.47675478577939834,0.21002132196162046,0.7899786780383795,0.6211302211302211,0.33218673218673217,0.37493857493857496,0.4464771695146311,0.5041407953709707,0.18209513222028226,0.2362670977114387
Victim Race,graphsage_fairloss_a50_sstate20_mb,Native American/Alaska Native,1409,0.7984386089425124,0.7955997161107168,0.8533333333333334,0.5669014084507042,0.43309859154929575,0.7686302342086586,0.7743080198722498,0.8168914123491838,0.8321419308697088,0.8736865497076024,0.5071415906788247,0.6259619091680161
Victim Race,graphsage_fairloss_a100_sstate20_mb,White,95216,0.7402012266845909,0.6359225340278944,0.7109635494260702,0.42212070986780936,0.5778792901321906,0.6763884221139305,0.6329910414216099,0.639084292555873,0.7076698424931822,0.7143116801808016,0.41591601666403044,0.42849901151263264
Victim Race,graphsage_fairloss_a100_sstate20_mb,Black,89937,0.6638758241880427,0.5787606880371816,0.6874235851742677,0.3641415812107178,0.6358584187892822,0.670091286122508,0.5753357906089818,0.581985723339671,0.683665893628583,0.6911674605419759,0.3584329113809618,0.36916998388209055
Victim Race,graphsage_fairloss_a100_sstate20_mb,Asian/Pacific Islander,2940,0.6952380952380952,0.5472789115646258,0.6125244618395304,0.3984375,0.6015625,0.6091836734693877,0.5299319727891156,0.5659863945578232,0.5913696770049842,0.6344730207565122,0.3662193942347451,0.432194046306505
Victim Race,graphsage_fairloss_a100_sstate20_mb,Unknown,2035,0.539066339066339,0.35626535626535627,0.4740200546946217,0.21855010660980811,0.7814498933901919,0.6157248157248157,0.33512285012285015,0.3774078624078624,0.44372084685466945,0.5022849340890604,0.19071471109925495,0.2457225631703161
Victim Race,graphsage_fairloss_a100_sstate20_mb,Native American/Alaska Native,1409,0.7984386089425124,0.8147622427253371,0.8702222222222222,0.5950704225352113,0.40492957746478875,0.7764371894960965,0.7941625266146203,0.8346344925479063,0.850794960234115,0.8896853028469063,0.5355422657162417,0.6505044397609094
Victim Race,graphsage_fairloss_a50_sstate50_mb,White,95216,0.7402012266845909,0.6374348848932953,0.7142411214688064,0.4186037110401423,0.5813962889598577,0.6797281969416905,0.6344921021677029,0.6405858784237943,0.7110450408312793,0.717709530701731,0.41218510192862806,0.4253557148743484
Victim Race,graphsage_fairloss_a50_sstate50_mb,Black,89937,0.6638758241880427,0.5589356994340483,0.6709431054985178,0.3377108832285809,0.6622891167714191,0.6680342906701358,0.5557331798925914,0.5620173009995886,0.6669232326315235,0.6747130370084391,0.3327386464313333,0.3427892209557303
Victim Race,graphsage_fairloss_a50_sstate50_mb,Asian/Pacific Islander,2940,0.6952380952380952,0.5479591836734694,0.6164383561643836,0.39174107142857145,0.6082589285714286,0.6139455782312925,0.5306037414965987,0.5659948979591837,0.5956193618967341,0.6379456745391437,0.35923205402372066,0.4237014936291834
Victim Race,graphsage_fairloss_a50_sstate50_mb,Unknown,2035,0.539066339066339,0.36068796068796066,0.4831358249772106,0.21748400852878466,0.7825159914712153,0.6211302211302211,0.34004914004914005,0.38183046683046684,0.45219966767845926,0.5115913249028512,0.19128428371071926,0.24619407559461443
Victim Race,graphsage_fairloss_a50_sstate50_mb,Native American/Alaska Native,1409,0.7984386089425124,0.8133427963094393,0.872,0.5809859154929577,0.41901408450704225,0.7806955287437899,0.7920511000709723,0.8325053229240597,0.8515389880952381,0.8906673893405601,0.5222062350119905,0.637654807751085
Victim Race,graphsage_fairloss_a100_sstate50_mb,White,95216,0.7402012266845909,0.634830280625105,0.7110203039203167,0.41775478028863644,0.5822452197113636,0.6775646950092421,0.6319413228869097,0.6379505545286506,0.707820091988461,0.7142495752590032,0.41141642843646753,0.4241571278544073
