attribute,group_set,model_a,model_b,metric,quantity,diff,diff_lo,diff_hi,significant
Victim Race,named_all,graphsage_geo_blind_mb,graphsage_fairloss_a100_mb,selection_rate,gap,0.04290490605421099,0.018093276131417105,0.06714753772896584,True
Victim Race,named_all,graphsage_geo_blind_mb,graphsage_fairloss_a100_mb,selection_rate,amplification,0.31884674601894947,0.1328156711596979,0.5189650446996521,True
Victim Race,named_all,graphsage_geo_blind_mb,graphsage_fairloss_a100_mb,tpr,gap,-0.010598390954555281,-0.029993861377421722,0.015393758812503553,False
Victim Race,named_all,graphsage_geo_blind_mb,graphsage_fairloss_a100_mb,tpr,amplification,-0.07876167971622805,-0.23527536885507083,0.11267111302068944,False
Victim Race,named_all,graphsage_geo_blind_mb,graphsage_fairloss_a100_mb,fpr,gap,0.16030584453628816,0.10714753852362882,0.20925496028506171,True
Victim Race,named_all,graphsage_geo_blind_mb,graphsage_fairloss_a100_mb,fpr,amplification,1.1913089107719534,0.7741359814578314,1.6341478082073349,True
Victim Race,named_n>=5000,graphsage_geo_blind_mb,graphsage_fairloss_a100_mb,selection_rate,gap,0.11201594792207348,0.10901641840768955,0.1149848122122816,True
Victim Race,named_n>=5000,graphsage_geo_blind_mb,graphsage_fairloss_a100_mb,selection_rate,amplification,1.4676103139729846,1.377696921279934,1.5600651690532226,True
Victim Race,named_n>=5000,graphsage_geo_blind_mb,graphsage_fairloss_a100_mb,tpr,gap,0.09307927617957512,0.0835564324247721,0.10248289215235701,True
Victim Race,named_n>=5000,graphsage_geo_blind_mb,graphsage_fairloss_a100_mb,tpr,amplification,1.2195058674441268,1.076183239227994,1.362669528513991,True
Victim Race,named_n>=5000,graphsage_geo_blind_mb,graphsage_fairloss_a100_mb,fpr,gap,0.12354344682574081,0.11844428809095812,0.129046643454349,True
Victim Race,named_n>=5000,graphsage_geo_blind_mb,graphsage_fairloss_a100_mb,fpr,amplification,1.6186412751813273,1.5137227037332288,1.7354274501960036,True
Victim Sex,named_all,graphsage_geo_blind_mb,graphsage_fairloss_a100_mb,selection_rate,gap,0.02734102598224275,0.023992875260451265,0.030652108165251588,True
Victim Sex,named_all,graphsage_geo_blind_mb,graphsage_fairloss_a100_mb,selection_rate,amplification,0.3311789547744899,0.2888036284181243,0.3778103591160704,True
Victim Sex,named_all,graphsage_geo_blind_mb,graphsage_fairloss_a100_mb,tpr,gap,0.02431372838255641,0.02016099356676374,0.028357648855932657,True
Victim Sex,named_all,graphsage_geo_blind_mb,graphsage_fairloss_a100_mb,tpr,amplification,0.2945096192672345,0.24235546152992324,0.3450844484535967,True
Victim Sex,named_all,graphsage_geo_blind_mb,graphsage_fairloss_a100_mb,fpr,gap,0.03279562236799177,0.025941803117857765,0.03981803134419121,True
Victim Sex,named_all,graphsage_geo_blind_mb,graphsage_fairloss_a100_mb,fpr,amplification,0.39724990364532986,0.31180986001090305,0.4866957199031779,True
Victim Sex,named_n>=5000,graphsage_geo_blind_mb,graphsage_fairloss_a100_mb,selection_rate,gap,0.02734102598224275,0.023992875260451265,0.030652108165251588,True
Victim Sex,named_n>=5000,graphsage_geo_blind_mb,graphsage_fairloss_a100_mb,selection_rate,amplification,0.3311789547744899,0.2888036284181243,0.3778103591160704,True
Victim Sex,named_n>=5000,graphsage_geo_blind_mb,graphsage_fairloss_a100_mb,tpr,gap,0.02431372838255641,0.02016099356676374,0.028357648855932657,True
Victim Sex,named_n>=5000,graphsage_geo_blind_mb,graphsage_fairloss_a100_mb,tpr,amplification,0.2945096192672345,0.24235546152992324,0.3450844484535967,True
Victim Sex,named_n>=5000,graphsage_geo_blind_mb,graphsage_fairloss_a100_mb,fpr,gap,0.03279562236799177,0.025941803117857765,0.03981803134419121,True
Victim Sex,named_n>=5000,graphsage_geo_blind_mb,graphsage_fairloss_a100_mb,fpr,amplification,0.39724990364532986,0.31180986001090305,0.4866957199031779,True
