attribute,group_set,model_a,model_b,metric,quantity,diff,diff_lo,diff_hi,significant
Victim Race,named_all,graphsage_fairloss_a100_mb,graphsage_fairloss_a5_sstate20_mb,selection_rate,gap,-0.02190717002365955,-0.04738686236454735,0.00281986758220118,False
Victim Race,named_all,graphsage_fairloss_a100_mb,graphsage_fairloss_a5_sstate20_mb,selection_rate,amplification,-0.16280259110000217,-0.34167912936403205,0.022117022012578664,False
Victim Race,named_all,graphsage_fairloss_a100_mb,graphsage_fairloss_a5_sstate20_mb,tpr,gap,0.005706023048488773,-0.015815310327331106,0.028440878264348414,False
Victim Race,named_all,graphsage_fairloss_a100_mb,graphsage_fairloss_a5_sstate20_mb,tpr,amplification,0.04240416887106102,-0.11399370488800273,0.2121365115300231,False
Victim Race,named_all,graphsage_fairloss_a100_mb,graphsage_fairloss_a5_sstate20_mb,fpr,gap,-0.11062033485231598,-0.16211937405916665,-0.055943221592966,True
Victim Race,named_all,graphsage_fairloss_a100_mb,graphsage_fairloss_a5_sstate20_mb,fpr,amplification,-0.8220722769238138,-1.2383610975434727,-0.42411740853922214,True
Victim Race,named_n>=5000,graphsage_fairloss_a100_mb,graphsage_fairloss_a5_sstate20_mb,selection_rate,gap,-0.08409913363484833,-0.08690888451928586,-0.08136371604655453,True
Victim Race,named_n>=5000,graphsage_fairloss_a100_mb,graphsage_fairloss_a5_sstate20_mb,selection_rate,amplification,-1.1018498544917823,-1.1793770230692069,-1.0320540738216866,True
Victim Race,named_n>=5000,graphsage_fairloss_a100_mb,graphsage_fairloss_a5_sstate20_mb,tpr,gap,-0.06639162376229901,-0.07603547932609075,-0.05685109857314526,True
Victim Race,named_n>=5000,graphsage_fairloss_a100_mb,graphsage_fairloss_a5_sstate20_mb,tpr,amplification,-0.8698496383992418,-1.0117450268325046,-0.7407515888112721,True
Victim Race,named_n>=5000,graphsage_fairloss_a100_mb,graphsage_fairloss_a5_sstate20_mb,fpr,gap,-0.093622622191876,-0.0987865908215769,-0.0883410359015256,True
Victim Race,named_n>=5000,graphsage_fairloss_a100_mb,graphsage_fairloss_a5_sstate20_mb,fpr,amplification,-1.2266246771002627,-1.3325510958416171,-1.133784060637749,True
Victim Race,named_all,graphsage_fairloss_a100_mb,graphsage_fairloss_a10_sstate20_mb,selection_rate,gap,-0.01741791109630514,-0.041507244487575104,0.0009350663615339675,False
Victim Race,named_all,graphsage_fairloss_a100_mb,graphsage_fairloss_a10_sstate20_mb,selection_rate,amplification,-0.12944077463978454,-0.3137977962082685,0.006825330473672316,False
Victim Race,named_all,graphsage_fairloss_a100_mb,graphsage_fairloss_a10_sstate20_mb,tpr,gap,-0.019238095238095276,-0.04162869153016212,0.002496504232986559,False
Victim Race,named_all,graphsage_fairloss_a100_mb,graphsage_fairloss_a10_sstate20_mb,tpr,amplification,-0.1429674279794233,-0.31681296797164904,0.016835496692578864,False
Victim Race,named_all,graphsage_fairloss_a100_mb,graphsage_fairloss_a10_sstate20_mb,fpr,gap,-0.1029383847328097,-0.1541127793278278,-0.05270515201727806,True
Victim Race,named_all,graphsage_fairloss_a100_mb,graphsage_fairloss_a10_sstate20_mb,fpr,amplification,-0.7649840549943765,-1.2027007587396477,-0.36770051001163034,True
Victim Race,named_n>=5000,graphsage_fairloss_a100_mb,graphsage_fairloss_a10_sstate20_mb,selection_rate,gap,-0.06171262484422457,-0.06430513426406365,-0.059103835482873776,True
Victim Race,named_n>=5000,graphsage_fairloss_a100_mb,graphsage_fairloss_a10_sstate20_mb,selection_rate,amplification,-0.8085463400866512,-0.8684315693045837,-0.7552640497211399,True
Victim Race,named_n>=5000,graphsage_fairloss_a100_mb,graphsage_fairloss_a10_sstate20_mb,tpr,gap,-0.045347965166083304,-0.05481885324661409,-0.035594335263758256,True
Victim Race,named_n>=5000,graphsage_fairloss_a100_mb,graphsage_fairloss_a10_sstate20_mb,tpr,amplification,-0.5941398758838405,-0.7224943613615598,-0.47072495489802296,True
Victim Race,named_n>=5000,graphsage_fairloss_a100_mb,graphsage_fairloss_a10_sstate20_mb,fpr,gap,-0.06886469476290513,-0.07397403496045857,-0.06383491169295745,True
Victim Race,named_n>=5000,graphsage_fairloss_a100_mb,graphsage_fairloss_a10_sstate20_mb,fpr,amplification,-0.9022513149016088,-0.9856580317896265,-0.8218825936474617,True
Victim Race,named_all,graphsage_fairloss_a100_mb,graphsage_fairloss_a25_sstate20_mb,selection_rate,gap,-0.0320010332024932,-0.05267572891470281,-0.013093922451876398,True
Victim Race,named_all,graphsage_fairloss_a100_mb,graphsage_fairloss_a25_sstate20_mb,selection_rate,amplification,-0.23781488515479188,-0.4050584881097212,-0.09305121786004138,True
Victim Race,named_all,graphsage_fairloss_a100_mb,graphsage_fairloss_a25_sstate20_mb,tpr,gap,-0.030097847358121377,-0.05223781746782403,-0.009174263871451297,True
Victim Race,named_all,graphsage_fairloss_a100_mb,graphsage_fairloss_a25_sstate20_mb,tpr,amplification,-0.22367140671946917,-0.3996175299301647,-0.06594440026057082,True
Victim Race,named_all,graphsage_fairloss_a100_mb,graphsage_fairloss_a25_sstate20_mb,fpr,gap,-0.10752178989417815,-0.15640768702415675,-0.05498162667427555,True
Victim Race,named_all,graphsage_fairloss_a100_mb,graphsage_fairloss_a25_sstate20_mb,fpr,amplification,-0.7990455168594202,-1.2143979968069225,-0.39753728110139186,True
Victim Race,named_n>=5000,graphsage_fairloss_a100_mb,graphsage_fairloss_a25_sstate20_mb,selection_rate,gap,-0.049114116363651816,-0.05199748437479579,-0.04629765631611391,True
Victim Race,named_n>=5000,graphsage_fairloss_a100_mb,graphsage_fairloss_a25_sstate20_mb,selection_rate,amplification,-0.6434832278267122,-0.6940234686121276,-0.5963563909527442,True
Victim Race,named_n>=5000,graphsage_fairloss_a100_mb,graphsage_fairloss_a25_sstate20_mb,tpr,gap,-0.03295809605698996,-0.04242904018398895,-0.023276432582877857,True
Victim Race,named_n>=5000,graphsage_fairloss_a100_mb,graphsage_fairloss_a25_sstate20_mb,tpr,amplification,-0.431810314508076,-0.5601015070559499,-0.3051252616845382,True
Victim Race,named_n>=5000,graphsage_fairloss_a100_mb,graphsage_fairloss_a25_sstate20_mb,fpr,gap,-0.056311911731528164,-0.061194114637946856,-0.05113181030623072,True
Victim Race,named_n>=5000,graphsage_fairloss_a100_mb,graphsage_fairloss_a25_sstate20_mb,fpr,amplification,-0.7377872882370305,-0.8220545972846087,-0.6551707858201069,True
