attribute,group_set,model_a,model_b,metric,quantity,diff,diff_lo,diff_hi,significant,stratum,n_strata,n_strata_used,min_stratum_n,n_standardized,signed_as,gap_a,gap_b
Victim Race,named_n>=5000,graphsage_geo_mb,graphsage_geo_blind_mb,selection_rate,gap,0.046717666496130406,0.04364906658695731,0.04993894551476303,True,State,51,39,100,182377,,,
Victim Race,named_n>=5000,graphsage_geo_mb,graphsage_geo_blind_mb,selection_rate,amplification,0.706897507638351,0.6438543451319978,0.7756673033687471,True,State,51,39,100,182377,,,
Victim Race,named_n>=5000,graphsage_geo_mb,graphsage_geo_blind_mb,tpr,gap,0.046290426363675974,0.042549635484561865,0.05019157646763937,True,State,51,39,100,182377,,,
Victim Race,named_n>=5000,graphsage_geo_mb,graphsage_geo_blind_mb,tpr,amplification,0.7004328229174193,0.6291841125160806,0.780161238410695,True,State,51,39,100,182377,,,
Victim Race,named_n>=5000,graphsage_geo_mb,graphsage_geo_blind_mb,fpr,gap,0.049619731300681924,0.043430357766022214,0.05551250981295125,True,State,51,39,100,182377,,,
Victim Race,named_n>=5000,graphsage_geo_mb,graphsage_geo_blind_mb,fpr,amplification,0.7508094264306213,0.650764849978874,0.8610215752644732,True,State,51,39,100,182377,,,
Victim Race,named_n>=5000,graphsage_geo_mb,graphsage_geo_blind_mb,selection_rate,signed_gap,-0.046717666496130406,-0.04993894551476303,-0.04364906658695731,True,State,51,39,100,182377,Black-White,-0.1496632355754971,-0.1029455690793667
Victim Race,named_n>=5000,graphsage_geo_mb,graphsage_geo_blind_mb,tpr,signed_gap,-0.046290426363675974,-0.05019157646763937,-0.042549635484561865,True,State,51,39,100,182377,Black-White,-0.13354167987818666,-0.08725125351451068
Victim Race,named_n>=5000,graphsage_geo_mb,graphsage_geo_blind_mb,fpr,signed_gap,-0.049619731300681924,-0.05551250981295125,-0.043430357766022214,True,State,51,39,100,182377,Black-White,-0.1404079208156619,-0.09078818951497997
Victim Race,named_n>=5000,graphsage_geo_mb,graphsage_fairloss_a0_mb,selection_rate,gap,0.04095307685267402,0.03798340722672189,0.04388317656556213,True,State,51,39,100,182377,,,
Victim Race,named_n>=5000,graphsage_geo_mb,graphsage_fairloss_a0_mb,selection_rate,amplification,0.6196719598500278,0.5600841448199955,0.6781453969805172,True,State,51,39,100,182377,,,
Victim Race,named_n>=5000,graphsage_geo_mb,graphsage_fairloss_a0_mb,tpr,gap,0.040392908581398324,0.03697544758395278,0.04399480884048825,True,State,51,39,100,182377,,,
Victim Race,named_n>=5000,graphsage_geo_mb,graphsage_fairloss_a0_mb,tpr,amplification,0.6111959039054169,0.5463358186357682,0.6807851017226823,True,State,51,39,100,182377,,,
Victim Race,named_n>=5000,graphsage_geo_mb,graphsage_fairloss_a0_mb,fpr,gap,0.04268952569499779,0.036984410361227155,0.04831662306598076,True,State,51,39,100,182377,,,
Victim Race,named_n>=5000,graphsage_geo_mb,graphsage_fairloss_a0_mb,fpr,amplification,0.6459466317427656,0.5533537232645739,0.7428703591121706,True,State,51,39,100,182377,,,
Victim Race,named_n>=5000,graphsage_geo_mb,graphsage_fairloss_a0_mb,selection_rate,signed_gap,-0.04095307685267402,-0.043883176565562135,-0.03798340722672189,True,State,51,39,100,182377,Black-White,-0.1496632355754971,-0.10871015872282308
Victim Race,named_n>=5000,graphsage_geo_mb,graphsage_fairloss_a0_mb,tpr,signed_gap,-0.040392908581398324,-0.04399480884048825,-0.03697544758395278,True,State,51,39,100,182377,Black-White,-0.13354167987818666,-0.09314877129678834
Victim Race,named_n>=5000,graphsage_geo_mb,graphsage_fairloss_a0_mb,fpr,signed_gap,-0.04268952569499779,-0.04831662306598076,-0.036984410361227155,True,State,51,39,100,182377,Black-White,-0.1404079208156619,-0.0977183951206641
Victim Race,named_n>=5000,graphsage_geo_mb,graphsage_fairloss_a10_mb,selection_rate,gap,0.07760556125264573,0.07457931028952411,0.08074542899145529,True,State,51,39,100,182377,,,
Victim Race,named_n>=5000,graphsage_geo_mb,graphsage_fairloss_a10_mb,selection_rate,amplification,1.1742705049901112,1.087847825860853,1.2715891038395948,True,State,51,39,100,182377,,,
Victim Race,named_n>=5000,graphsage_geo_mb,graphsage_fairloss_a10_mb,tpr,gap,0.07417018518818808,0.07034768201569436,0.07822924337252683,True,State,51,39,100,182377,,,
Victim Race,named_n>=5000,graphsage_geo_mb,graphsage_fairloss_a10_mb,tpr,amplification,1.1222889108758864,1.0309371684702042,1.224126965986211,True,State,51,39,100,182377,,,
Victim Race,named_n>=5000,graphsage_geo_mb,graphsage_fairloss_a10_mb,fpr,gap,0.0880804365302218,0.08180834519715303,0.09446073183832539,True,State,51,39,100,182377,,,
Victim Race,named_n>=5000,graphsage_geo_mb,graphsage_fairloss_a10_mb,fpr,amplification,1.3327686445997688,1.2049094169112673,1.463167280690739,True,State,51,39,100,182377,,,
Victim Race,named_n>=5000,graphsage_geo_mb,graphsage_fairloss_a10_mb,selection_rate,signed_gap,-0.07760556125264573,-0.08074542899145529,-0.07457931028952411,True,State,51,39,100,182377,Black-White,-0.1496632355754971,-0.07205767432285137
Victim Race,named_n>=5000,graphsage_geo_mb,graphsage_fairloss_a10_mb,tpr,signed_gap,-0.07417018518818808,-0.07822924337252683,-0.07034768201569436,True,State,51,39,100,182377,Black-White,-0.13354167987818666,-0.05937149468999858
Victim Race,named_n>=5000,graphsage_geo_mb,graphsage_fairloss_a10_mb,fpr,signed_gap,-0.0880804365302218,-0.09446073183832539,-0.08180834519715303,True,State,51,39,100,182377,Black-White,-0.1404079208156619,-0.052327484285440096
Victim Race,named_n>=5000,graphsage_geo_mb,graphsage_fairloss_a25_mb,selection_rate,gap,0.08988709393458916,0.08672288770191654,0.09313697157319797,True,State,51,39,100,182377,,,
Victim Race,named_n>=5000,graphsage_geo_mb,graphsage_fairloss_a25_mb,selection_rate,amplification,1.3601056610239397,1.262987734698342,1.4775682885628687,True,State,51,39,100,182377,,,
Victim Race,named_n>=5000,graphsage_geo_mb,graphsage_fairloss_a25_mb,tpr,gap,0.08809861133135577,0.08398022427975764,0.09217080566384664,True,State,51,39,100,182377,,,
Victim Race,named_n>=5000,graphsage_geo_mb,graphsage_fairloss_a25_mb,tpr,amplification,1.333043652377062,1.2276080724648852,1.4559134851272306,True,State,51,39,100,182377,,,
Victim Race,named_n>=5000,graphsage_geo_mb,graphsage_fairloss_a25_mb,fpr,gap,0.09817378108902963,0.09229583003235133,0.10450848517126621,True,State,51,39,100,182377,,,
Victim Race,named_n>=5000,graphsage_geo_mb,graphsage_fairloss_a25_mb,fpr,amplification,1.4854937408531819,1.3574792649963483,1.6334051814335275,True,State,51,39,100,182377,,,
Victim Race,named_n>=5000,graphsage_geo_mb,graphsage_fairloss_a25_mb,selection_rate,signed_gap,-0.08988709393458916,-0.09313697157319797,-0.08672288770191654,True,State,51,39,100,182377,Black-White,-0.1496632355754971,-0.05977614164090794
