attribute,group_set,model_a,model_b,metric,quantity,diff,diff_lo,diff_hi,significant,stratum,n_strata,n_strata_used,min_stratum_n,n_standardized,signed_as,gap_a,gap_b
Victim Race,named_all,graphsage_geo_blind_mb,graphsage_fairloss_a100_mb,selection_rate,gap,-0.014925885895470226,-0.07730911463218516,0.05218635598088576,False,State|City,2813,3,20,14732,,,
Victim Race,named_all,graphsage_geo_blind_mb,graphsage_fairloss_a100_mb,selection_rate,amplification,-0.13142778983737646,-0.8672275407142892,0.7059425981778009,False,State|City,2813,3,20,14732,,,
Victim Race,named_all,graphsage_geo_blind_mb,graphsage_fairloss_a100_mb,tpr,gap,-0.009052852041826792,-0.06779243018807037,0.043045684594504,False,State|City,2813,3,20,14732,,,
Victim Race,named_all,graphsage_geo_blind_mb,graphsage_fairloss_a100_mb,tpr,amplification,-0.07971361592300263,-0.8283441267418291,0.5024528761379377,False,State|City,2813,3,20,14732,,,
Victim Race,named_all,graphsage_geo_blind_mb,graphsage_fairloss_a100_mb,fpr,gap,0.024226174314417592,-0.06712470312042008,0.12661466647491598,False,State|City,2813,3,20,14732,,,
Victim Race,named_all,graphsage_geo_blind_mb,graphsage_fairloss_a100_mb,fpr,amplification,0.2133201719922846,-0.6006840608666055,2.0203685452415665,False,State|City,2813,3,20,14732,,,
Victim Race,named_n>=5000,graphsage_geo_blind_mb,graphsage_fairloss_a100_mb,selection_rate,gap,0.009515568156292287,0.0011209190138648823,0.018651252080534263,True,State|City,2813,313,20,149428,,,
Victim Race,named_n>=5000,graphsage_geo_blind_mb,graphsage_fairloss_a100_mb,selection_rate,amplification,0.3704729492689473,0.046965802529441575,0.71405642652463,True,State|City,2813,313,20,149428,,,
Victim Race,named_n>=5000,graphsage_geo_blind_mb,graphsage_fairloss_a100_mb,tpr,gap,-0.014976011645000398,-0.023879880890562286,-0.0027904700031464533,True,State|City,2813,313,20,149428,,,
Victim Race,named_n>=5000,graphsage_geo_blind_mb,graphsage_fairloss_a100_mb,tpr,amplification,-0.5830663089455752,-0.9933233635808988,-0.10829665896897904,True,State|City,2813,313,20,149428,,,
Victim Race,named_n>=5000,graphsage_geo_blind_mb,graphsage_fairloss_a100_mb,fpr,gap,0.025192521022382175,0.009668155271584412,0.030350309268214012,True,State|City,2813,313,20,149428,,,
Victim Race,named_n>=5000,graphsage_geo_blind_mb,graphsage_fairloss_a100_mb,fpr,amplification,0.9808292483838938,0.37124573228761726,1.335317450352588,True,State|City,2813,313,20,149428,,,
Victim Race,named_n>=5000,graphsage_geo_blind_mb,graphsage_fairloss_a100_mb,selection_rate,signed_gap,-0.024932534838813303,-0.028602399915513745,-0.02115211588680346,True,State|City,2813,313,20,149428,Black-White,-0.017224051497552795,0.007708483341260508
Victim Race,named_n>=5000,graphsage_geo_blind_mb,graphsage_fairloss_a100_mb,tpr,signed_gap,-0.0248367224726338,-0.02936429735627808,-0.01998962469558325,True,State|City,2813,313,20,149428,Black-White,-0.0049303554138167005,0.019906367058817098
Victim Race,named_n>=5000,graphsage_geo_blind_mb,graphsage_fairloss_a100_mb,fpr,signed_gap,-0.02589274735264374,-0.032804288271235896,-0.019635024246583744,True,State|City,2813,313,20,149428,Black-White,-0.025542634187512958,0.00035011316513078317
Victim Race,named_n>=5000,graphsage_geo_blind_mb,graphsage_fairloss_a100_mb,selection_rate,gap,0.010225555832056532,0.00111252344169753,0.019394227998334772,True,State|City,2813,242,30,143595,,,
Victim Race,named_n>=5000,graphsage_geo_blind_mb,graphsage_fairloss_a100_mb,selection_rate,amplification,0.3745909038995442,0.04712499892372012,0.7127392427933238,True,State|City,2813,242,30,143595,,,
Victim Race,named_n>=5000,graphsage_geo_blind_mb,graphsage_fairloss_a100_mb,tpr,gap,-0.01450193479557893,-0.02459909922840012,-0.002442083502382626,True,State|City,2813,242,30,143595,,,
Victim Race,named_n>=5000,graphsage_geo_blind_mb,graphsage_fairloss_a100_mb,tpr,amplification,-0.5312467070335908,-0.9682521257547219,-0.09788346765112324,True,State|City,2813,242,30,143595,,,
Victim Race,named_n>=5000,graphsage_geo_blind_mb,graphsage_fairloss_a100_mb,fpr,gap,0.020347301057485667,0.0026334889337550657,0.02912287475920865,True,State|City,2813,242,30,143595,,,
Victim Race,named_n>=5000,graphsage_geo_blind_mb,graphsage_fairloss_a100_mb,fpr,amplification,0.7453789329618095,0.1021268753077797,1.1826261243790368,True,State|City,2813,242,30,143595,,,
Victim Race,named_n>=5000,graphsage_geo_blind_mb,graphsage_fairloss_a100_mb,selection_rate,signed_gap,-0.02498100284917748,-0.029023062929068567,-0.021271859870381726,True,State|City,2813,242,30,143595,Black-White,-0.017603279340617006,0.007377723508560474
Victim Race,named_n>=5000,graphsage_geo_blind_mb,graphsage_fairloss_a100_mb,tpr,signed_gap,-0.024824148996635542,-0.029733224199347003,-0.020199435438929457,True,State|City,2813,242,30,143595,Black-White,-0.005161107100528306,0.019663041896107236
Victim Race,named_n>=5000,graphsage_geo_blind_mb,graphsage_fairloss_a100_mb,fpr,signed_gap,-0.025513044847750577,-0.032618612094950365,-0.018936562037768927,True,State|City,2813,242,30,143595,Black-White,-0.022930172952618122,0.0025828718951324547
Victim Race,named_n>=5000,graphsage_geo_blind_mb,graphsage_fairloss_a100_mb,selection_rate,gap,0.012701862655086382,0.00376945717044926,0.022045005645691448,True,State|City,2813,164,50,134953,,,
Victim Race,named_n>=5000,graphsage_geo_blind_mb,graphsage_fairloss_a100_mb,selection_rate,amplification,0.4460535191809535,0.13748787376481786,0.7836386928308468,True,State|City,2813,164,50,134953,,,
Victim Race,named_n>=5000,graphsage_geo_blind_mb,graphsage_fairloss_a100_mb,tpr,gap,-0.012838805749788573,-0.023243516868136627,-0.0015153170889317066,True,State|City,2813,164,50,134953,,,
Victim Race,named_n>=5000,graphsage_geo_blind_mb,graphsage_fairloss_a100_mb,tpr,amplification,-0.45086257364628285,-0.8500135329549933,-0.052717982433397516,True,State|City,2813,164,50,134953,,,
Victim Race,named_n>=5000,graphsage_geo_blind_mb,graphsage_fairloss_a100_mb,fpr,gap,0.021778358947631693,0.004389148388011764,0.0294487726141283,True,State|City,2813,164,50,134953,,,
Victim Race,named_n>=5000,graphsage_geo_blind_mb,graphsage_fairloss_a100_mb,fpr,amplification,0.7647944175090798,0.1557771220913444,1.118817280951494,True,State|City,2813,164,50,134953,,,
Victim Race,named_n>=5000,graphsage_geo_blind_mb,graphsage_fairloss_a100_mb,selection_rate,signed_gap,-0.0249785439427343,-0.028794082631801773,-0.02085821687340226,True,State|City,2813,164,50,134953,Black-White,-0.01884020329891034,0.0061383406438239585
