attribute,group_set,model_a,model_b,metric,quantity,diff,diff_lo,diff_hi,significant
Victim Race,named_all,graphsage_geo_blind_mb,graphsage_fairloss_a10_mb,selection_rate,gap,0.032251574458975196,0.01003225002199135,0.056129259330355376,True
Victim Race,named_all,graphsage_geo_blind_mb,graphsage_fairloss_a10_mb,selection_rate,amplification,0.23967677629311157,0.07190614290495834,0.43217998911380956,True
Victim Race,named_all,graphsage_geo_blind_mb,graphsage_fairloss_a10_mb,tpr,gap,-0.01923896499238964,-0.035092703856054494,0.0024169385877751085,False
Victim Race,named_all,graphsage_geo_blind_mb,graphsage_fairloss_a10_mb,tpr,amplification,-0.14297389153690654,-0.2611785014763362,0.01808952427684453,False
Victim Race,named_all,graphsage_geo_blind_mb,graphsage_fairloss_a10_mb,fpr,gap,0.11107378641681381,0.07310743873987424,0.1485345380816225,True
Victim Race,named_all,graphsage_geo_blind_mb,graphsage_fairloss_a10_mb,fpr,amplification,0.8254420909873768,0.5339341836656915,1.1569340550150662,True
Victim Race,named_n>=5000,graphsage_geo_blind_mb,graphsage_fairloss_a10_mb,selection_rate,gap,0.07640614305029858,0.0739974400148263,0.07877775507171945,True
Victim Race,named_n>=5000,graphsage_geo_blind_mb,graphsage_fairloss_a10_mb,selection_rate,amplification,1.0010578464195334,0.9364207796148722,1.0628179726526172,True
Victim Race,named_n>=5000,graphsage_geo_blind_mb,graphsage_fairloss_a10_mb,tpr,gap,0.07143998245989835,0.06863533085953309,0.07432353759129705,True
Victim Race,named_n>=5000,graphsage_geo_blind_mb,graphsage_fairloss_a10_mb,tpr,amplification,0.9359922139045284,0.8704391857324637,0.9984502031413816,True
Victim Race,named_n>=5000,graphsage_geo_blind_mb,graphsage_fairloss_a10_mb,fpr,gap,0.08826396797184316,0.08325505869950871,0.09303174526067601,True
Victim Race,named_n>=5000,graphsage_geo_blind_mb,graphsage_fairloss_a10_mb,fpr,amplification,1.1564166723632399,1.0718159685356776,1.2398416050575904,True
Victim Race,named_all,graphsage_geo_blind_mb,graphsage_fairloss_a25_mb,selection_rate,gap,0.047018886635797785,0.023763148290038436,0.07262308020758652,True
Victim Race,named_all,graphsage_geo_blind_mb,graphsage_fairloss_a25_mb,selection_rate,amplification,0.34941969075321144,0.1789044303435165,0.5484321983368559,True
Victim Race,named_all,graphsage_geo_blind_mb,graphsage_fairloss_a25_mb,tpr,gap,-0.0075181561208957914,-0.023960143244548874,0.019261550091565032,False
Victim Race,named_all,graphsage_geo_blind_mb,graphsage_fairloss_a25_mb,tpr,amplification,-0.05587099088811076,-0.17698428262134072,0.14141725790167892,False
Victim Race,named_all,graphsage_geo_blind_mb,graphsage_fairloss_a25_mb,fpr,gap,0.1674266946368918,0.11513947590906642,0.21077143703723286,True
Victim Race,named_all,graphsage_geo_blind_mb,graphsage_fairloss_a25_mb,fpr,amplification,1.2442273318167967,0.8222735375922963,1.6336843322655312,True
Victim Race,named_n>=5000,graphsage_geo_blind_mb,graphsage_fairloss_a25_mb,selection_rate,gap,0.09723831738696864,0.0944613524599692,0.09995224304619141,True
Victim Race,named_n>=5000,graphsage_geo_blind_mb,graphsage_fairloss_a25_mb,selection_rate,amplification,1.273996784902199,1.197020329652257,1.3555960947731513,True
Victim Race,named_n>=5000,graphsage_geo_blind_mb,graphsage_fairloss_a25_mb,tpr,gap,0.09231802623859153,0.08916729747574001,0.0955974661528903,True
Victim Race,named_n>=5000,graphsage_geo_blind_mb,graphsage_fairloss_a25_mb,tpr,amplification,1.209532124547481,1.134423446638631,1.292334978884726,True
Victim Race,named_n>=5000,graphsage_geo_blind_mb,graphsage_fairloss_a25_mb,fpr,gap,0.1090348668455266,0.10391948644480531,0.11415835003175522,True
Victim Race,named_n>=5000,graphsage_geo_blind_mb,graphsage_fairloss_a25_mb,fpr,amplification,1.4285527921121375,1.3320563770224387,1.5390872520996457,True
