State,City,shr_actual,shr_cleared,ra_actual,ra_cleared,agency_years,ratio_actual,q_shr,q_ra,d
Alaska,Anchorage,676,534,607.0,420.0,38,1.113673805601318,0.7899408284023669,0.6919275123558485,-0.09801331604651842
Alaska,Juneau,674,562,590.0,477.0,45,1.1423728813559322,0.8338278931750742,0.8084745762711865,-0.025353316903887757
Alaska,Nome,10,10,9.0,9.0,7,1.1111111111111112,1.0,1.0,0.0
Alaska,Bethel,23,21,23.0,19.0,14,1.0,0.9130434782608695,0.8260869565217391,-0.08695652173913038
Alaska,North Slope,28,28,25.0,19.0,13,1.12,1.0,0.76,-0.24
Alaska,Kenai Peninsula,13,8,11.0,7.0,13,1.1818181818181819,0.6153846153846154,0.6363636363636364,0.020979020979020935
Alabama,Jefferson,3492,2513,3484.0,1515.0,243,1.002296211251435,0.7196449026345934,0.43484500574052815,-0.2847998968940652
Alabama,Mobile,1644,1251,1634.0,857.0,120,1.0061199510403918,0.7609489051094891,0.5244798041615667,-0.2364691009479224
Alabama,Montgomery,930,723,926.0,507.0,55,1.0043196544276458,0.7774193548387097,0.5475161987041036,-0.2299031561346061
Alabama,Autauga,63,55,61.0,46.0,32,1.0327868852459017,0.873015873015873,0.7540983606557377,-0.11891751236013537
Alabama,Baldwin,156,132,153.0,96.0,81,1.0196078431372548,0.8461538461538461,0.6274509803921569,-0.2187028657616893
Alabama,Barbour,60,42,59.0,40.0,36,1.0169491525423728,0.7,0.6779661016949152,-0.02203389830508473
Alabama,Blount,30,25,29.0,20.0,19,1.0344827586206897,0.8333333333333334,0.6896551724137931,-0.14367816091954022
Alabama,Bullock,16,13,16.0,8.0,12,1.0,0.8125,0.5,-0.3125
Alabama,Butler,56,51,56.0,43.0,37,1.0,0.9107142857142857,0.7678571428571429,-0.1428571428571428
Alabama,Calhoun,321,268,319.0,217.0,90,1.006269592476489,0.8348909657320872,0.6802507836990596,-0.15464018203302765
Alabama,Chambers,95,85,93.0,67.0,53,1.021505376344086,0.8947368421052632,0.7204301075268817,-0.17430673457838142
Alabama,Chilton,40,33,39.0,22.0,28,1.0256410256410255,0.825,0.5641025641025641,-0.26089743589743586
