circumstance,family,n_counties,corr_clearance,lo,hi
brawl due to influence of alcohol,가해자의존,275,0.09994654213928468,0.01318114064920996,0.1885194546120378
lovers triangle,가해자의존,275,0.05323070586674122,-0.05675074812349537,0.14253593691571412
child killed by babysitter,가해자의존,275,0.03890716357016724,-0.0396758682716126,0.09165002877033424
brawl due to influence of narcotics,가해자의존,275,0.018954003197082552,-0.08709610909067395,0.12873024063010194
argument over money or property,가해자의존,275,-0.0094955025121135,-0.12374127621004709,0.08192926856506867
felon killed by private citizen,가해자의존,275,-0.09462998907523704,-0.23678744247395003,0.024358279605783448
other arguments,가해자의존,275,-0.16197981662683314,-0.2717665247909121,-0.05350558423557704
rape,현장결정,275,0.19229670547150057,0.1100366026133498,0.27312778500027585
burglary,현장결정,275,0.13536682777296244,0.04896724164416298,0.21075291612674787
larceny,현장결정,275,0.1338715175128466,0.031181718206322626,0.21652734347750544
motor vehicle theft,현장결정,275,0.12172304583890886,0.030883122173154504,0.2024990117023178
robbery,현장결정,275,0.06413960638324992,-0.04563484063867981,0.1629323995866057
gangland killings,현장결정,275,0.05051068519819194,-0.016890001081978114,0.1270388752009406
arson,현장결정,275,0.04871863841456456,-0.033834189972184736,0.13231786561757938
juvenile gang killings,현장결정,275,-0.23806946659229497,-0.33306405318101917,-0.13671468637417458
narcotic drug laws,현장결정,275,-0.33460350330160227,-0.4633995425036478,-0.2019482081523245
