State,City,mean_Black,mean_White,size_Black,size_White,min_race_n,gap_pp,weight
Alabama,Calhoun,0.9642857142857143,0.38461538461538464,28.0,26.0,10,57.967032967032964,54.0
Alabama,Etowah,0.7777777777777778,0.5151515151515151,18.0,33.0,10,26.262626262626267,51.0
Alabama,Houston,0.85,0.6923076923076923,20.0,13.0,10,15.769230769230768,33.0
Alabama,Jefferson,0.7708628005657708,0.7339901477832512,707.0,203.0,10,3.687265278251961,910.0
Alabama,Madison,0.8205128205128205,0.8095238095238095,39.0,42.0,10,1.098901098901095,81.0
Alabama,Mobile,0.6953125,0.6568627450980392,256.0,102.0,10,3.8449754901960786,358.0
Alabama,Montgomery,0.7375,0.5813953488372093,160.0,43.0,10,15.610465116279071,203.0
Alabama,Morgan,0.6,0.6363636363636364,10.0,22.0,10,-3.6363636363636376,32.0
Alabama,Tuscaloosa,0.8275862068965517,0.45454545454545453,29.0,22.0,10,37.30407523510972,51.0
Alaska,Anchorage,0.35,0.5694444444444444,20.0,72.0,10,-21.944444444444443,92.0
Arizona,Maricopa,0.7397959183673469,0.7114738358137302,392.0,2083.0,10,2.832208255361668,2475.0
Arizona,Pima,0.5135135135135135,0.5867346938775511,74.0,588.0,10,-7.322118036403758,662.0
Arkansas,Crittenden,0.64,0.7727272727272727,25.0,22.0,10,-13.27272727272727,47.0
Arkansas,Garland,0.5263157894736842,0.75,19.0,24.0,10,-22.368421052631582,43.0
Arkansas,Jefferson,0.7176470588235294,0.7142857142857143,85.0,21.0,10,0.3361344537815114,106.0
Arkansas,Mississippi,0.8387096774193549,0.7692307692307693,31.0,13.0,10,6.94789081885856,44.0
Arkansas,Pulaski,0.7282913165266106,0.6788990825688074,357.0,109.0,10,4.939223395780323,466.0
California,Alameda,0.49391304347826087,0.3469387755102041,1725.0,637.0,10,14.69742679680568,2362.0
California,Contra Costa,0.5007656967840735,0.38338658146964855,653.0,313.0,10,11.73791153144249,966.0
California,Fresno,0.3175355450236967,0.28156748911465895,211.0,689.0,10,3.5968055909037733,900.0
California,Kern,0.30526315789473685,0.4409448818897638,190.0,508.0,10,-13.568172399502693,698.0
California,Los Angeles,0.2544797233574348,0.26421722206398934,6362.0,10533.0,10,-0.9737498706554548,16895.0
California,Madera,0.5625,0.3894736842105263,16.0,95.0,10,17.30263157894737,111.0
California,Merced,0.5294117647058824,0.4117647058823529,17.0,136.0,10,11.764705882352944,153.0
California,Monterey,0.3793103448275862,0.31100478468899523,29.0,418.0,10,6.830556013859096,447.0
California,Orange,0.23076923076923078,0.20783645655877342,39.0,1174.0,10,2.2932774210457363,1213.0
California,Riverside,0.4627659574468085,0.45464247598719315,188.0,937.0,10,0.8123481459615334,1125.0
California,Sacramento,0.36271186440677966,0.34854771784232363,295.0,482.0,10,1.4164146564456026,777.0
California,San Bernardino,0.3494736842105263,0.36897106109324757,475.0,1244.0,10,-1.949737688272124,1719.0
California,San Diego,0.33095238095238094,0.36861051115910726,420.0,1389.0,10,-3.7658130206726312,1809.0
California,San Francisco,0.40055632823365783,0.2948073701842546,719.0,597.0,10,10.57489580494032,1316.0
California,San Joaquin,0.4413793103448276,0.33617021276595743,145.0,470.0,10,10.520909757887015,615.0
California,San Mateo,0.4883720930232558,0.36231884057971014,129.0,207.0,10,12.605325244354566,336.0
California,Santa Clara,0.3611111111111111,0.22849462365591397,36.0,372.0,10,13.261648745519713,408.0
