family,timestamp,model,tag,seed,attribute,blind,group_set,params,notes,metric,value,lo,hi,std
ablation,2026-07-23T15:32:04,graphsage,default,42.0,,False,,"{""aggr"": ""mean"", ""dropout"": ""0.3"", ""edge_type"": ""geo"", ""hidden_dim"": ""64.0"", ""k_neighbors"": ""20.0"", ""lr"": ""0.005"", ""max_epochs"": ""200.0"", ""num_layers"": ""2.0"", ""patience"": ""20.0"", ""val_size"": ""0.15"", ""weight_decay"": ""0.0005""}",{},auc,0.7127979294517885,,,
ablation,2026-07-23T15:32:17,graphsage,default,43.0,,False,,"{""aggr"": ""mean"", ""dropout"": ""0.3"", ""edge_type"": ""geo"", ""hidden_dim"": ""64.0"", ""k_neighbors"": ""20.0"", ""lr"": ""0.005"", ""max_epochs"": ""200.0"", ""num_layers"": ""2.0"", ""patience"": ""20.0"", ""val_size"": ""0.15"", ""weight_decay"": ""0.0005""}",{},auc,0.711839424350393,,,
ablation,2026-07-23T15:32:32,graphsage,default,44.0,,False,,"{""aggr"": ""mean"", ""dropout"": ""0.3"", ""edge_type"": ""geo"", ""hidden_dim"": ""64.0"", ""k_neighbors"": ""20.0"", ""lr"": ""0.005"", ""max_epochs"": ""200.0"", ""num_layers"": ""2.0"", ""patience"": ""20.0"", ""val_size"": ""0.15"", ""weight_decay"": ""0.0005""}",{},auc,0.7124910217984117,,,
ablation,2026-07-23T15:32:04,graphsage,default,42.0,,False,,"{""aggr"": ""mean"", ""dropout"": ""0.3"", ""edge_type"": ""geo"", ""hidden_dim"": ""64.0"", ""k_neighbors"": ""20.0"", ""lr"": ""0.005"", ""max_epochs"": ""200.0"", ""num_layers"": ""2.0"", ""patience"": ""20.0"", ""val_size"": ""0.15"", ""weight_decay"": ""0.0005""}",{},balanced_accuracy,0.6516595247933479,,,
ablation,2026-07-23T15:32:17,graphsage,default,43.0,,False,,"{""aggr"": ""mean"", ""dropout"": ""0.3"", ""edge_type"": ""geo"", ""hidden_dim"": ""64.0"", ""k_neighbors"": ""20.0"", ""lr"": ""0.005"", ""max_epochs"": ""200.0"", ""num_layers"": ""2.0"", ""patience"": ""20.0"", ""val_size"": ""0.15"", ""weight_decay"": ""0.0005""}",{},balanced_accuracy,0.6507600828936317,,,
ablation,2026-07-23T15:32:32,graphsage,default,44.0,,False,,"{""aggr"": ""mean"", ""dropout"": ""0.3"", ""edge_type"": ""geo"", ""hidden_dim"": ""64.0"", ""k_neighbors"": ""20.0"", ""lr"": ""0.005"", ""max_epochs"": ""200.0"", ""num_layers"": ""2.0"", ""patience"": ""20.0"", ""val_size"": ""0.15"", ""weight_decay"": ""0.0005""}",{},balanced_accuracy,0.6503491850410734,,,
ablation,2026-07-23T15:32:04,graphsage,default,42.0,,False,,"{""aggr"": ""mean"", ""dropout"": ""0.3"", ""edge_type"": ""geo"", ""hidden_dim"": ""64.0"", ""k_neighbors"": ""20.0"", ""lr"": ""0.005"", ""max_epochs"": ""200.0"", ""num_layers"": ""2.0"", ""patience"": ""20.0"", ""val_size"": ""0.15"", ""weight_decay"": ""0.0005""}",{},best_epoch,102.0,,,
ablation,2026-07-23T15:32:17,graphsage,default,43.0,,False,,"{""aggr"": ""mean"", ""dropout"": ""0.3"", ""edge_type"": ""geo"", ""hidden_dim"": ""64.0"", ""k_neighbors"": ""20.0"", ""lr"": ""0.005"", ""max_epochs"": ""200.0"", ""num_layers"": ""2.0"", ""patience"": ""20.0"", ""val_size"": ""0.15"", ""weight_decay"": ""0.0005""}",{},best_epoch,89.0,,,
ablation,2026-07-23T15:32:32,graphsage,default,44.0,,False,,"{""aggr"": ""mean"", ""dropout"": ""0.3"", ""edge_type"": ""geo"", ""hidden_dim"": ""64.0"", ""k_neighbors"": ""20.0"", ""lr"": ""0.005"", ""max_epochs"": ""200.0"", ""num_layers"": ""2.0"", ""patience"": ""20.0"", ""val_size"": ""0.15"", ""weight_decay"": ""0.0005""}",{},best_epoch,108.0,,,
ablation,2026-07-23T15:32:04,graphsage,default,42.0,,False,,"{""aggr"": ""mean"", ""dropout"": ""0.3"", ""edge_type"": ""geo"", ""hidden_dim"": ""64.0"", ""k_neighbors"": ""20.0"", ""lr"": ""0.005"", ""max_epochs"": ""200.0"", ""num_layers"": ""2.0"", ""patience"": ""20.0"", ""val_size"": ""0.15"", ""weight_decay"": ""0.0005""}",{},f1,0.7368261826182618,,,
ablation,2026-07-23T15:32:17,graphsage,default,43.0,,False,,"{""aggr"": ""mean"", ""dropout"": ""0.3"", ""edge_type"": ""geo"", ""hidden_dim"": ""64.0"", ""k_neighbors"": ""20.0"", ""lr"": ""0.005"", ""max_epochs"": ""200.0"", ""num_layers"": ""2.0"", ""patience"": ""20.0"", ""val_size"": ""0.15"", ""weight_decay"": ""0.0005""}",{},f1,0.7371022891119564,,,
